,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"|dPhi(MET,leading jet)| > 2","|dPhi(MET,all jets)| > 0.75",Vtx cos(collinear) < 0
QCD,2.4876471605028946e-06,2.1122054546316957e-08,5.4144281545218065e-09,5.4144281545218065e-09,5.4144281545218065e-09,5.094978330595737e-09,0.0,0.0
Multiboson,0.0006583202167779597,7.254082263871977e-06,3.542988613977481e-06,3.3393314133088526e-06,3.250153015678464e-06,3.12540400475466e-06,2.1168671310140924e-06,7.194165858934577e-07
ZGamma,0.0003246784514825821,4.475978800969665e-06,2.420350585787386e-06,2.2485322363907433e-06,2.087487939679805e-06,1.9264436429688664e-06,1.4625755237342624e-06,3.944705082128019e-07
Top,0.00039884940443411364,9.674969672535317e-06,3.4102542801812802e-06,3.1629125058431537e-06,3.099770648066234e-06,3.0235636573378784e-06,1.9117319033385083e-06,8.343211837370163e-07
ZJets,0.0024215919063650454,1.592969274760557e-05,9.47749022419554e-06,8.852924627404765e-06,8.727814751672726e-06,8.439536774090032e-06,5.7214835309627296e-06,2.7325464841465754e-06
DY,0.00018700921571001666,3.7911403511642362e-06,2.027999829106395e-06,1.944791181488339e-06,1.94436835843038e-06,1.8906232022378283e-06,1.194258546176814e-06,5.290963660637242e-07
WJets,0.0010131776773887344,7.512272491487626e-06,4.245813900587907e-06,4.027737938042706e-06,3.995167645176659e-06,3.882141961762616e-06,2.494148399363431e-06,1.167732430632091e-06
Total,1.6957574430746622e-05,1.5079558780222314e-07,7.282491764497276e-08,6.898670537830468e-08,6.826283021787706e-08,6.61200202346261e-08,3.958557269190499e-08,1.8218026688610426e-08
