,Preselections,n(good vertex) > 0,computing BDT score,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 2","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,555,58,58,57,57,57,57,29,5.0,0.2,100.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,2593,218,218,208,208,208,202,51,5.0,0.1,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,1730,346,346,334,334,334,331,240,10.0,0.2,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,3200,455,455,437,437,437,433,257,10.0,0.1,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,2547,544,544,526,525,525,520,416,20.0,0.1,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,2254,563,563,544,544,544,537,463,20.0,0.2,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,5042,1202,1202,1176,1176,1176,1157,971,30.0,0.1,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,2084,537,537,524,524,524,517,462,30.0,0.2,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,5881,1477,1477,1428,1428,1428,1413,1220,40.0,0.1,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,4314,1228,1228,1194,1193,1193,1174,1056,40.0,0.2,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,5850,1588,1588,1542,1542,1542,1522,1330,50.0,0.1,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,3058,921,921,889,889,889,884,780,50.0,0.2,100.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,3323,943,943,912,912,912,899,802,60.0,0.1,100.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,4061,1161,1161,1120,1119,1119,1101,949,70.0,0.1,100.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,4235,1387,1387,1338,1338,1338,1316,1074,70.0,0.2,100.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,4626,1441,1441,1396,1395,1395,1377,1146,80.0,0.1,100.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,5162,1832,1832,1772,1772,1772,1744,1387,80.0,0.2,100.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,11575,4165,4165,3993,3990,3990,3933,2935,90.0,0.2,100.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,13297,4315,4315,4197,4197,4197,4139,3344,90.0,0.1,100.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,6457,2416,2416,2325,2324,2324,2291,1648,100.0,0.2,100.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,15990,5417,5417,5232,5230,5230,5156,4062,100.0,0.1,100.0
