,Preselections,n(good vertex) > 0,computing BDT score,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 2","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,1729,367,367,353,353,353,347,117,5.0,0.1,10.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,1369,383,383,367,367,367,363,250,5.0,0.2,10.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,3584,1239,1239,1194,1194,1194,1179,1040,10.0,0.2,10.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,3520,1037,1037,1005,1005,1005,997,726,10.0,0.1,10.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,4878,2040,2040,1966,1964,1964,1944,1825,20.0,0.2,10.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,3301,1194,1194,1151,1150,1150,1138,1028,20.0,0.1,10.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,4884,2170,2170,2107,2107,2107,2080,1987,30.0,0.2,10.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,5491,2164,2164,2112,2109,2109,2078,1911,30.0,0.1,10.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,6049,2800,2800,2710,2709,2709,2677,2516,40.0,0.2,10.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,6287,2651,2651,2585,2585,2585,2555,2386,40.0,0.1,10.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,2420,1125,1125,1084,1084,1084,1065,989,50.0,0.2,10.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,7614,3210,3210,3095,3095,3095,3054,2841,50.0,0.1,10.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,6016,2585,2585,2493,2491,2491,2471,2243,60.0,0.1,10.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,7485,3693,3693,3553,3551,3551,3508,2959,70.0,0.2,10.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,8067,3670,3670,3540,3538,3538,3501,3110,70.0,0.1,10.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-10,9413,4279,4279,4131,4130,4130,4087,3551,80.0,0.1,10.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-10,5418,2718,2718,2619,2619,2619,2585,2088,80.0,0.2,10.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-10,22497,11491,11491,11114,11111,11111,10963,8516,90.0,0.2,10.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-10,30782,14606,14606,14131,14121,14120,13957,11732,90.0,0.1,10.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-10,13345,6862,6862,6648,6643,6643,6554,4934,100.0,0.2,10.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-10,26465,12519,12519,12094,12092,12092,11933,9814,100.0,0.1,10.0
