,Preselections,n(good vertex) > 0,computing BDT score,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 2","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,1729,367,367,328,319,319,319,316,109,5.0,0.1,10.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,1369,383,383,332,319,319,319,316,216,5.0,0.2,10.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,3584,1239,1239,1067,1037,1037,1037,1030,909,10.0,0.2,10.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,3520,1037,1037,905,879,879,879,873,637,10.0,0.1,10.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,4878,2040,2040,1797,1742,1741,1741,1729,1625,20.0,0.2,10.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,3301,1194,1194,1020,993,993,993,985,887,20.0,0.1,10.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,4884,2170,2170,1890,1851,1851,1851,1838,1759,30.0,0.2,10.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,5491,2164,2164,1870,1843,1841,1841,1828,1682,30.0,0.1,10.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,6049,2800,2800,2392,2328,2327,2327,2315,2179,40.0,0.2,10.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,6287,2651,2651,2311,2271,2271,2271,2249,2102,40.0,0.1,10.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,2420,1125,1125,968,938,938,938,926,865,50.0,0.2,10.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,7614,3210,3210,2755,2682,2682,2682,2661,2473,50.0,0.1,10.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,6016,2585,2585,2238,2181,2180,2180,2170,1968,60.0,0.1,10.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,7485,3693,3693,3183,3101,3100,3100,3080,2605,70.0,0.2,10.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,8067,3670,3670,3195,3103,3102,3102,3080,2733,70.0,0.1,10.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-10,9413,4279,4279,3672,3569,3568,3568,3545,3082,80.0,0.1,10.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-10,5418,2718,2718,2328,2264,2264,2264,2241,1803,80.0,0.2,10.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-10,22497,11491,11491,9937,9697,9695,9695,9605,7445,90.0,0.2,10.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-10,30782,14606,14606,12579,12281,12276,12275,12181,10227,90.0,0.1,10.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-10,13345,6862,6862,5891,5740,5738,5738,5683,4254,100.0,0.2,10.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-10,26465,12519,12519,10812,10519,10517,10517,10432,8555,100.0,0.1,10.0
