,Preselections,n(good vertex) > 0,computing BDT score,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 2","dPhi(MET,all jets) > 0.75",BDT
QCD,4.432895859274569e-07,3.748151973292173e-09,3.748151973292173e-09,2.1741985877151317e-11,2.1741985877151317e-11,2.1741985877151317e-11,2.1741985877151317e-11,0.0,0.0
DY,5.889175603910551e-06,9.447875300391258e-08,9.447875300391258e-08,8.398111378125563e-08,7.348347455859868e-08,7.348347455859868e-08,7.348347455859868e-08,7.348347455859868e-08,2.0995278445313907e-08
ZJets,0.001343183528384212,1.8343348744158355e-05,1.8343348744158355e-05,1.523174771158198e-05,1.4540896002554698e-05,1.4482971411224139e-05,1.4440011570751692e-05,1.3671727212477677e-05,2.1629385072907075e-07
Top,9.060851788117953e-05,1.5149300298094385e-06,1.5149300298094385e-06,1.1416883986003999e-06,1.0283022761244482e-06,9.563942060599359e-07,9.560094724455492e-07,7.560608044254623e-07,1.0607779056457402e-08
Multiboson,0.00030946475284535606,2.702128073008051e-06,2.702128073008051e-06,1.8374391221681128e-06,1.6467804505745338e-06,1.587207569685619e-06,1.5454595748857072e-06,1.5071302325879191e-06,0.0
WJets,0.0005326438573211258,3.9086058881657435e-06,3.9086058881657435e-06,3.1736537623567135e-06,3.05898440328003e-06,3.046941152964248e-06,3.0418227674376708e-06,2.7979079185697394e-06,2.6016912408119154e-08
Total,6.311043631534972e-06,5.756915525559148e-08,5.756915525559148e-08,4.394538101064758e-08,4.193188329539486e-08,4.1619409934450346e-08,4.1523405364676987e-08,3.841996188640502e-08,7.417195431112096e-10
