,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,0.007414270155088269,0.0005107569156098447,0.0004392134414346437,0.00041197015901885825,0.00041197015901885825,0.00041197015901885825,0.0003846880625345261,5.0,0.2,100.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,0.007306084347248066,0.0004532794654227637,0.00038127077166872915,0.00035933928388573704,0.00035933928388573704,0.00035933928388573704,0.00034561925728022417,5.0,0.1,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,0.008038948093792015,0.0005019209490734596,0.00042063652761297924,0.00039658035997244264,0.00039658035997244264,0.00039658035997244264,0.000387478744653037,10.0,0.1,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,0.00797709862657122,0.00045745347805290393,0.0003878231430903233,0.00037279030956903963,0.00037279030956903963,0.00037279030956903963,0.0003618665022858142,10.0,0.2,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,0.01064869843766006,0.0007460240965027947,0.000656440724418964,0.0006252486440257034,0.0006252486440257034,0.0006252486440257034,0.0006096742885264766,20.0,0.1,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,0.010335342307593722,0.0007353252565732799,0.0006326202987336924,0.0006061087146850706,0.0006061087146850706,0.0006061087146850706,0.0005796228151290473,20.0,0.2,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,0.01358496758660357,0.0010594334877780107,0.0008978233247973903,0.0008798721646064814,0.0008798721646064814,0.0008798721646064814,0.0008491148998839264,30.0,0.2,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,0.013535937524539444,0.0009626011924860877,0.0008383734794542689,0.0008035570700754899,0.0008035570700754899,0.0008035570700754899,0.0007800894888073961,30.0,0.1,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,0.017664331272528238,0.0013304550639489435,0.001138864686999803,0.0011029978012571172,0.0011029978012571172,0.0011029978012571172,0.0010703390075690164,40.0,0.1,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,0.01757580834755236,0.0014858298766942885,0.0012348843274795427,0.0011817017080204136,0.0011817017080204136,0.0011817017080204136,0.001145149051272874,40.0,0.2,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,0.022522272782321738,0.0018196689853591697,0.0015746491193576824,0.0015282367977831708,0.0015282367977831708,0.0015282367977831708,0.001492005225383886,50.0,0.1,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,0.022439338812072256,0.0019992709875910255,0.0017200706318202684,0.0016526927637330491,0.0016526927637330491,0.0016526927637330491,0.0015885585660286394,50.0,0.2,100.0
sig_2018_Mchi-60p0_dMchi-20p0_ctau-100,0.021028453012212414,0.0018896229038845038,0.0016004571148509822,0.0015503133029233956,0.0015503133029233956,0.0015503133029233956,0.0014460747844887302,50.0,0.4,100.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,0.027190388602682875,0.002181485857817833,0.0018446304507680324,0.0017698133396863624,0.0017698133396863624,0.0017698133396863624,0.001728994917111436,60.0,0.1,100.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,0.03281005815334121,0.0028297969486320187,0.00243110962899333,0.0023514099022849165,0.0023514099022849165,0.0023514099022849165,0.0022608462251909947,70.0,0.1,100.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,0.03255392799976495,0.003035038329407271,0.002531996296482001,0.00240399449358587,0.00240399449358587,0.00240399449358587,0.0023090529721398615,70.0,0.2,100.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,0.03695870364946555,0.003498406753916098,0.0029380936973765455,0.0028509834521423926,0.0028468291109510456,0.0028468291109510456,0.002763879730402638,80.0,0.1,100.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,0.03814286044059044,0.0037343149485877156,0.003226963087745258,0.0030973949973199175,0.003093807837368072,0.003093807837368072,0.002982260388150261,80.0,0.2,100.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,0.041558918990691134,0.0037815452874767016,0.003246031842974496,0.0031697455291534687,0.0031697455291534687,0.0031697455291534687,0.0030902251130002687,90.0,0.1,100.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,0.04289789237868635,0.004441857788338789,0.0037647979170443878,0.003643074805530581,0.0036412208031984384,0.0036412208031984384,0.003486187498292494,90.0,0.2,100.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,0.048055388680122275,0.005189718273133438,0.004418409611638064,0.004217129582981961,0.004213347421744538,0.004213347421744538,0.004042540434245454,100.0,0.2,100.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,0.04603756251182028,0.004456320047246225,0.0037720762426210475,0.003665487267140563,0.0036642071409387703,0.0036642071409387703,0.003580814548783248,100.0,0.1,100.0
