,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75"
QCD,1.7651668257743638e-06,6.077362062712804e-08,3.878997300799038e-08,3.842603541783329e-08,3.842603541783329e-08,3.83982418504224e-08,1.4851165757866981e-08
Top,0.00012946820485290213,9.97754441182973e-06,6.17125854766177e-06,5.539476839865081e-06,5.517514155252442e-06,5.517514155252442e-06,5.1695497466007844e-06
DY,1.1260544239392069e-05,4.841556455252427e-07,4.4672702191047595e-07,4.4672702191047595e-07,4.4672702191047595e-07,4.4672702191047595e-07,3.165323264143673e-07
Diboson,0.0006373026064192725,3.295699274604414e-05,2.431756257563597e-05,2.2873228126674072e-05,2.2698508421943413e-05,2.259425144826884e-05,2.0517739859642173e-05
Triboson,0.001932566315603267,0.00012802960836339627,8.609513721959956e-05,7.416850020801646e-05,7.401393767238899e-05,7.385937499778007e-05,6.1055778744945e-05
W+jets,0.0023099635965568503,0.00012902289889183828,0.00010330003154807743,9.804229800973766e-05,9.785888789009455e-05,9.782725261358932e-05,8.521730489571547e-05
Z+jets,0.006645338662101281,0.0002951688589820333,0.00024091230322614295,0.00022935550382186911,0.0002289299467074166,0.00022890130914908586,0.0002165799965123775
Total,1.8780920972310482e-05,4.6961786622571875e-07,2.487387943129402e-07,1.7774907207036836e-07,1.4194433233204224e-07,1.1825035101949747e-07,8.764128056875273e-08
