,Preselections,n(good vertex) > 0,Leading jet pT > 80 GeV,Leading jet |eta| < 2.4,"dPhi(MET,leading jet) > 2.0","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,0.0018130384357196879,0.0002068014243639756,0.0002068014243639756,0.00019588932928643344,0.00019588932928643344,0.00018633831656341538,8.12360672634878e-05,5.0,0.1,100.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,0.0019586069741226865,0.000276024396993768,0.000276024396993768,0.00027260806744664904,0.00027260806744664904,0.0002691852019672979,0.0001636592411902208,5.0,0.2,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,0.0024400462509508495,0.0005531424688414398,0.0005531424688414398,0.0005271869581809559,0.0005271869581809559,0.0005203540674989357,0.0003866035118361096,10.0,0.2,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,0.0022842914550260133,0.00041677575493408197,0.00041677575493408197,0.00039798018438928594,0.00039798018438928594,0.000392415359858289,0.00025813496199650674,10.0,0.1,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,0.0038819864239690856,0.0010499288800119974,0.001048267804257094,0.00101846842155423,0.00101846842155423,0.0010002389604107224,0.0008545392394623943,20.0,0.2,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,0.003372586587620071,0.0008250925585660963,0.0008237884451994634,0.0007964565329423762,0.0007964565329423762,0.0007821830629948308,0.0006250253742753729,20.0,0.1,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,0.005511991762719819,0.0015027841960294109,0.0015027841960294109,0.0014514854798989183,0.0014514854798989183,0.0014360739974376598,0.001302744607197809,30.0,0.2,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,0.00469163139070011,0.0012541291484899214,0.0012532151912468864,0.0012223625961595526,0.0012223625961595526,0.0011996787714941743,0.000989933528668369,30.0,0.1,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,0.007600666077795009,0.002281842637484888,0.0022801415063829393,0.0022071630700685593,0.0022071630700685593,0.002166469621619467,0.0018967345710118196,40.0,0.2,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,0.006562565823287944,0.0017865411058716934,0.0017865411058716934,0.001722319926433386,0.001722319926433386,0.0017016597503113676,0.0014328057198719588,40.0,0.1,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,0.010142894766676572,0.003205229996917778,0.003205229996917778,0.003099253098087345,0.003099253098087345,0.0030607552694266247,0.0026179754408741413,50.0,0.2,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,0.008691591813399483,0.002509150947676843,0.002507705901935252,0.0024337133749450894,0.0024337133749450894,0.0024032800062281216,0.002088596249218622,50.0,0.1,100.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,0.010902428863361834,0.0032688989055367885,0.0032688989055367885,0.003160091062273877,0.003160091062273877,0.003102493048626703,0.0026803675102410707,60.0,0.1,100.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,0.015447285747093137,0.005274115928516005,0.005270582965557765,0.005073448911921662,0.005073448911921662,0.004968001590887515,0.004098976152273527,70.0,0.2,100.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,0.013601852050778919,0.004174283425823569,0.004171019100470611,0.0040308826676076276,0.0040308826676076276,0.00395912583164173,0.0032938633097615608,70.0,0.1,100.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,0.015945853802788696,0.005311081788770933,0.00530772830347747,0.005143594192003453,0.005143594192003453,0.005063168651701407,0.0041250752656616955,80.0,0.1,100.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,0.019252896550562674,0.006997141922992493,0.0069935422863570745,0.006774007099169436,0.006774007099169436,0.006651643045839571,0.005334999952089535,80.0,0.2,100.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,0.022130613659055123,0.008210715640631442,0.008197802625958065,0.007878735712831007,0.007878735712831007,0.007760641294264767,0.005932576561467735,90.0,0.2,100.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,0.018508212315340073,0.0063007955077385245,0.006298095332123511,0.006125986995621155,0.006125986995621155,0.006025742516700237,0.004937721447463806,90.0,0.1,100.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,0.025906769702760013,0.009936785058088175,0.009932907836028007,0.009553814890938032,0.009553814890938032,0.009387475482197325,0.00701929064910184,100.0,0.2,100.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,0.02107545962410326,0.007509423350432749,0.007500424318784507,0.007248776005742095,0.007248776005742095,0.007137111956620291,0.0057312737981120776,100.0,0.1,100.0
