,Preselections,n(good vertex) > 0,Leading jet pT > 80 GeV,Leading jet |eta| < 2.4,"dPhi(MET,leading jet) > 2.0","dPhi(MET,all jets) > 0.75",BDT
QCD,2.4876471605028946e-06,6.699463890803315e-09,6.699463890803315e-09,5.288306052885432e-09,4.873705403095113e-09,1.1208580834222362e-09,0.0
ZGamma,0.0003246784514825821,1.0848804242259678e-05,8.946311367888243e-06,8.098165510184682e-06,8.285973945223306e-06,8.648122565506602e-06,1.6104433652857688e-07
WJets,0.0010131776773887344,1.9981118700655388e-05,1.9658780110058004e-05,1.8696784290821322e-05,1.8590844002142253e-05,1.712463121791505e-05,1.4112652868651017e-07
ZJets,0.002421591906365046,4.092259154725448e-05,4.0520161355852465e-05,3.8362276091754835e-05,3.8252500131574303e-05,3.5796015908835265e-05,5.428509636451688e-07
Top,0.00039884940443411364,8.719298802066126e-06,8.052280671605078e-06,7.260330836201709e-06,7.170986567391037e-06,6.5368503770950565e-06,5.837302675802974e-08
Multiboson,0.00065832021677796,2.550476202951549e-05,2.1738949521364077e-05,1.9996136954851712e-05,1.915802265063426e-05,1.8379064969921158e-05,4.174799041070223e-08
DY,0.00018700921571001666,9.114535265538721e-06,9.044496781952914e-06,8.757217365798674e-06,8.662455744359773e-06,7.770839185251798e-06,2.2767963674787883e-07
Total,1.6957574430746622e-05,2.998416232599408e-07,2.924718631940757e-07,2.7559438704237687e-07,2.7339821347238543e-07,2.4916597023552476e-07,2.576153524598314e-09
