,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75"
QCD,38039.826987393106,1309.6881157616592,835.9345080158558,828.0915535927173,828.0915535927173,827.4925946273464,320.04667646216626
Top,5667.491119528111,436.7685827805372,270.14781779760676,242.49147373625033,241.53005374788674,241.53005374788674,226.29785679122278
DY,14495.724273410277,623.2546663595167,575.0727138429656,575.0727138429656,575.0727138429656,575.0727138429656,407.47278548691924
Diboson,4424.202427727811,228.7899121217951,168.81434078550183,158.7876628601581,157.57474558341198,156.85098586331577,142.43568688435147
Triboson,52.9969216443768,3.510966256532889,2.360993878631625,2.033928751768702,2.029690170911906,2.0254515862438103,1.6743375355128156
W+jets,227212.6010356857,12690.948244412031,10160.79599266941,9643.634893429837,9625.594310278442,9622.482601734659,8382.143133107187
Z+jets,142220.15349869026,6317.053587030301,5155.88241423216,4908.549679393078,4899.44212277071,4898.829236332755,4635.134778668513
Total,432112.9962640796,21610.01407472237,17169.00878122213,16358.661905606774,16329.335189987045,16324.283637735172,14115.205254935872
