,Preselections,n(good vertex) > 0,computing BDT score,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 2","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,2689,221,221,193,184,184,184,180,43,5.0,0.1,100.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,583,61,61,57,56,56,56,55,28,5.0,0.2,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,1807,352,352,300,291,291,291,289,208,10.0,0.2,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,3318,461,461,397,383,383,383,381,224,10.0,0.1,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,2360,571,571,498,486,486,486,478,409,20.0,0.2,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,2610,551,551,477,463,462,462,460,365,20.0,0.1,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,5208,1217,1217,1062,1043,1043,1043,1030,861,30.0,0.1,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,2164,545,545,475,470,470,470,465,418,30.0,0.2,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,4510,1244,1244,1099,1077,1076,1076,1063,960,40.0,0.2,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,6078,1496,1496,1299,1269,1268,1268,1254,1080,40.0,0.1,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,3180,930,930,796,770,770,770,765,672,50.0,0.2,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,6046,1610,1610,1385,1348,1348,1348,1334,1163,50.0,0.1,100.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,3442,951,951,827,807,807,807,802,710,60.0,0.1,100.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,4425,1397,1397,1206,1172,1172,1172,1160,950,70.0,0.2,100.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,4196,1178,1178,982,954,954,954,943,810,70.0,0.1,100.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,4797,1461,1461,1249,1219,1218,1218,1206,1001,80.0,0.1,100.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,5382,1851,1851,1600,1556,1556,1556,1538,1223,80.0,0.2,100.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,12080,4202,4202,3601,3482,3481,3481,3446,2556,90.0,0.2,100.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,13749,4363,4363,3736,3655,3655,3655,3611,2918,90.0,0.1,100.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,6734,2444,2444,2109,2050,2049,2049,2026,1450,100.0,0.2,100.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,16509,5472,5472,4707,4578,4577,4577,4530,3568,100.0,0.1,100.0
