,Preselections,n(good vertex) > 0,computing BDT score,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 2","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,3.5787225783036702,0.3741932973473724,0.3741932973473724,0.3677263038540736,0.3677263038540736,0.3677263038540736,0.3677263038540736,0.18707272749906798,5.0,0.2,100.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,106.50360622930427,8.95340769793938,8.95340769793938,8.542725340487038,8.542725340487038,8.542725340487038,8.296470335238364,2.094716485216744,5.0,0.1,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,2.198005550473126,0.4396868353804414,0.4396868353804414,0.4244357089503621,0.4244357089503621,0.4244357089503621,0.42062041837624264,0.30496404255585247,10.0,0.2,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,66.14412389668941,9.404075942742566,9.404075942742566,9.032042304469261,9.032042304469261,9.032042304469261,8.949442378103551,5.311267260920374,10.0,0.1,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,60.20657778194844,12.854370325022408,12.854370325022408,12.428492455088413,12.404773336892058,12.404773336892058,12.286965656030338,9.831184983774241,20.0,0.1,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,2.125375620887679,0.5308526959367257,0.5308526959367257,0.5129365075032084,0.5129365075032084,0.5129365075032084,0.5063277577038711,0.43656914054760926,20.0,0.2,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,7932.870851998317,1891.5341192562512,1891.5341192562512,1850.6174345432187,1850.6174345432187,1850.6174345432187,1820.723725759681,1527.8513267443388,30.0,0.1,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,484.67811064371523,124.86054325578922,124.86054325578922,121.83813224286276,121.83813224286276,121.83813224286276,120.21031017125961,107.42387910911309,30.0,0.2,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,37.67739366126773,9.462018546394146,9.462018546394146,9.148225831569352,9.148225831569352,9.148225831569352,9.052250460757378,7.816326696722979,40.0,0.1,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,1.3389236523090478,0.381123159915184,0.381123159915184,0.3705681834613831,0.37025697864296614,0.37025697864296614,0.3643646034396563,0.3277193510521866,40.0,0.2,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,15.81334713414766,4.292854914885475,4.292854914885475,4.168428528284594,4.168428528284594,4.168428528284594,4.114419076257463,3.5955385739360555,50.0,0.1,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,0.5716303298807273,0.1721426883439329,0.1721426883439329,0.16615629049941552,0.16615629049941552,0.16615629049941552,0.16522029329366766,0.1457814928942624,50.0,0.2,100.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,10.21611133406924,2.899589458957459,2.899589458957459,2.804222798169251,2.804222798169251,2.804222798169251,2.76422296578352,2.4659665875974683,60.0,0.1,100.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,7.566356337447589,2.1627276542063987,2.1627276542063987,2.0863948366937914,2.0845304388429926,2.0845304388429926,2.0510071089853263,1.7678574474807929,70.0,0.1,100.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,0.2658743705691311,0.08707208731899725,0.08707208731899725,0.08399394747773413,0.08399394747773413,0.08399394747773413,0.08261424937696402,0.06742256743988341,70.0,0.2,100.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,5.682182366345118,1.770094158544535,1.770094158544535,1.7148330507298184,1.713603972886911,1.713603972886911,1.6914938849494408,1.407687536219527,80.0,0.1,100.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,0.21261422388071005,0.0754597882293887,0.0754597882293887,0.0729872896450677,0.0729872896450677,0.0729872896450677,0.07183387601646209,0.057127834070076024,80.0,0.2,100.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,0.16394303772644525,0.05899122424241395,0.05899122424241395,0.056555639637355576,0.05651318020796719,0.05651318020796719,0.05570545288054607,0.041570086843756564,90.0,0.2,100.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,4.431276423219061,1.4380000697293724,1.4380000697293724,1.398670374922871,1.398670374922871,1.398670374922871,1.3793499911896314,1.1144216649633722,90.0,0.1,100.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,0.13357656786664626,0.049979135424385125,0.049979135424385125,0.048097204694099525,0.04807647660945072,0.04807647660945072,0.04739382336381822,0.03409255128101945,100.0,0.2,100.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,3.500245074848906,1.1858457086426124,1.1858457086426124,1.1453462532020824,1.1449085814265805,1.1449085814265805,1.1287155517236211,0.8892187478008852,100.0,0.1,100.0
