,Preselections,n(good vertex) > 0,computing BDT score,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 2","dPhi(MET,all jets) > 0.75",BDT
Multiboson,2156.81396999164,18.832476147881966,18.832476147881966,18.832476147881966,16.673444796581283,16.258251723533423,15.967289158085514,15.447186594707581,0.0
ZJets,28746.12977562099,392.5750073434629,392.5750073434629,392.5750073434629,369.8063320005299,368.3750889907588,367.286583277291,344.7317424749098,8.1807654742591
QCD,9553.011595148286,80.77369827293356,80.77369827293356,80.77369827293356,80.77369827293356,80.77369827293356,76.38592204718307,8.083665802162788,0.0
Top,3966.4021836762045,66.316301368405,66.316301368405,66.316301368405,57.42137380434565,53.90606382160062,53.88922205274391,41.352784795103624,0.8782588914183275
WJets,93278.65545905702,684.4902028930119,684.4902028930119,684.4902028930119,650.1342598133142,647.6756103360742,646.4474035100811,582.4945108970442,14.892623552537433
DY,1895.2872955586074,30.405678538373376,30.405678538373376,30.405678538373376,27.027269811887447,27.027269811887447,27.027269811887447,23.648861085401517,6.756817452971862
Total,139596.30027905275,1273.3933645640689,1273.3933645640689,1273.3933645640689,1201.836378499592,1194.0159829567879,1187.003689857272,1015.7587516493296,30.708465371186723
