,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"|dPhi(MET,leading jet)| > 1.5","|dPhi(MET,all jets)| > 0.75",min(dxy_refit) > 0.00001,min(dxy_refit) > 0.00005,min(dxy_refit) > 0.0001,min(dxy_refit) > 0.0005,min(dxy_refit) > 0.001,min(dxy_refit) > 0.005,Vtx cos(collinear) < 0
ZJets,738994,8765,5090,4896,4881,4804,2773,2769,2750,2729,2543,2317,1225,582
DY-M50,270888,22058,7569,7486,7483,6801,2879,2870,2829,2777,2368,1957,578,268
TTX,141390,12226,3553,3312,3139,2950,1789,1780,1737,1676,1347,998,286,117
ZGamma,6506,165,89,82,81,77,50,49,48,45,42,32,15,4
Multiboson,25187,1065,560,530,506,476,307,307,298,290,237,186,41,17
SingleTop,46523,1057,407,355,354,348,212,211,208,199,175,143,38,11
QCD,31490,277,74,74,74,64,1,1,1,1,1,0,0,0
DY-M4to50,25243,1574,762,750,750,682,267,267,264,261,238,204,71,31
WJets,1177020,21015,9820,9584,9556,9233,4806,4781,4695,4598,3883,3194,1000,463
TTbar,516063,32723,11160,10304,10042,9934,6484,6447,6327,6152,5012,3952,1200,478
Total,2979304,100925,39084,37373,36866,35369,19568,19482,19157,18728,15846,12983,4454,1971
