,m1,delta,ctau,Signal,Background,S/sqrt(B)
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,80.0,0.2,100.0,0.06828886182112863,2019.0901868305186,0.001519749521514118
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,80.0,0.1,100.0,1.6054953136064893,2019.0901868305186,0.035729849196164204
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,80.0,0.1,1.0,542.2315928292024,2019.0901868305186,12.067212452749576
sig_2018_Mchi-84p0_dMchi-8p0_ctau-10,80.0,0.1,10.0,48.97740390314551,2019.0901868305186,1.0899784263761054
sig_2018_Mchi-88p0_dMchi-16p0_ctau-10,80.0,0.2,10.0,1.9726805937324672,2019.0901868305186,0.04390145491482662
65,80.0,0.2,1.0,0.0,2019.0901868305186,0.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-10,90.0,0.2,10.0,1.5977295943134386,2019.0901868305186,0.03555702528513256
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,90.0,0.2,100.0,0.05294196602075749,2019.0901868305186,0.0011782086475362657
sig_2018_Mchi-94p5_dMchi-9p0_ctau-10,90.0,0.1,10.0,39.575762182530575,2019.0901868305186,0.8807475192367078
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,90.0,0.1,1.0,436.6276858333627,2019.0901868305186,9.71702703675407
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,90.0,0.1,100.0,1.2933620711161091,2019.0901868305186,0.028783411178703547
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,90.0,0.2,1.0,17.985419607014418,2019.0901868305186,0.40026048337993886
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,100.0,0.2,100.0,0.04524156197096541,2019.0901868305186,0.0010068383089766608
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,100.0,0.2,1.0,14.074094970760836,2019.0901868305186,0.3132150474785074
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,100.0,0.1,1.0,344.4671602737762,2019.0901868305186,7.666020314917972
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,100.0,0.1,100.0,1.0726698172292808,2019.0901868305186,0.02387196678935501
sig_2018_Mchi-105p0_dMchi-10p0_ctau-10,100.0,0.1,10.0,31.423973648555716,2019.0901868305186,0.6993317452201097
sig_2018_Mchi-110p0_dMchi-20p0_ctau-10,100.0,0.2,10.0,1.2654347341247196,2019.0901868305186,0.028161896104385877
