,Preselections,n(good vertex) > 0,Leading jet pT > 80 GeV,Leading jet |eta| < 2.4,"dPhi(MET,leading jet) > 2.0","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,2558,1096,1096,1054,1054,1042,785,5.0,0.2,1.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,1910,626,626,601,601,590,358,5.0,0.1,1.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,4504,2344,2343,2250,2250,2230,1799,10.0,0.2,1.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,4731,2026,2023,1949,1949,1926,1491,10.0,0.1,1.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,5438,3039,3038,2918,2918,2885,2428,20.0,0.2,1.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,4675,2244,2239,2171,2171,2146,1752,20.0,0.1,1.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,6806,3968,3964,3824,3824,3773,3062,30.0,0.2,1.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,6266,3154,3150,3065,3065,3042,2412,30.0,0.1,1.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,6744,4019,4013,3881,3881,3827,3027,40.0,0.2,1.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,7545,3987,3984,3838,3838,3807,2993,40.0,0.1,1.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,8794,4591,4584,4435,4435,4365,3343,50.0,0.1,1.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,648,406,406,390,390,387,292,50.0,0.2,1.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,9138,4828,4827,4657,4657,4599,3290,60.0,0.1,1.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,11976,7232,7229,6961,6960,6872,4213,70.0,0.2,1.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,10902,5969,5965,5764,5764,5690,3891,70.0,0.1,1.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,12329,6849,6840,6609,6609,6527,4177,80.0,0.1,1.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,28386,17375,17357,16776,16776,16564,8345,90.0,0.2,1.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,36408,20560,20541,19825,19825,19586,12148,90.0,0.1,1.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,16420,10104,10091,9754,9754,9646,4533,100.0,0.2,1.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,4399,2518,2513,2431,2431,2393,1342,100.0,0.1,1.0
