,Preselections,n(good vertex) > 0,Leading jet pT > 80 GeV,Leading jet |eta| < 2.4,"dPhi(MET,leading jet) > 2.0","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,1772,454,454,436,436,428,244,5.0,0.1,10.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,1413,464,464,449,449,443,342,5.0,0.2,10.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,3597,1241,1240,1196,1196,1186,948,10.0,0.1,10.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,3702,1460,1458,1412,1412,1393,1212,10.0,0.2,10.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,5017,2297,2293,2216,2215,2192,1960,20.0,0.2,10.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,3355,1408,1405,1358,1358,1342,1158,20.0,0.1,10.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,5008,2449,2449,2376,2376,2343,2131,30.0,0.2,10.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,5591,2508,2503,2436,2436,2404,2097,30.0,0.1,10.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,6183,3158,3154,3062,3062,3025,2663,40.0,0.2,10.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,6428,3035,3034,2948,2948,2911,2578,40.0,0.1,10.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,2484,1301,1301,1254,1254,1231,1067,50.0,0.2,10.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,7734,3620,3618,3493,3493,3445,3041,50.0,0.1,10.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,6146,2933,2929,2835,2835,2810,2458,60.0,0.1,10.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,7695,4154,4152,3996,3996,3943,3156,70.0,0.2,10.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,8221,4132,4129,3977,3977,3934,3332,70.0,0.1,10.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-10,9605,4874,4873,4709,4709,4663,3865,80.0,0.1,10.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-10,5548,3063,3061,2957,2957,2917,2222,80.0,0.2,10.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-10,23096,12893,12879,12465,12465,12300,9113,90.0,0.2,10.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-10,31420,16513,16499,15975,15974,15794,12717,90.0,0.1,10.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-10,13714,7818,7810,7564,7564,7457,5284,100.0,0.2,10.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-10,26970,14233,14226,13760,13760,13571,10702,100.0,0.1,10.0
