,Preselections,n(good vertex) > 0,Leading jet pT > 80 GeV,Leading jet |eta| < 2.4,"dPhi(MET,leading jet) > 2.0","dPhi(MET,all jets) > 0.75",SSSF,theta < 70,BDT
ZGamma,1665.1257291312033,42.323929042770196,42.15904275587518,41.222616123281504,39.37825433545375,25.97119647406754,7.349801228431507,3.7983465733517257,0.0
DY,5819.491801116749,222.23092785210434,221.43852005762716,211.14330601599534,203.40557158331958,107.28598177386988,25.400920963225882,11.158961514704842,0.09803885862442473
QCD,53432.26840398662,954.150699667511,954.150699667511,903.3378058882773,864.3084488682374,0.5730326140151054,0.5730326140151054,0.5730326140151054,0.0
WJets,214692.23521238868,4163.973430315972,4122.28974390076,3914.309105607589,3784.7227452246525,2290.9272197642454,1113.0744034324684,508.1597843649447,2.561802905179266
Top,26174.931995913073,1504.7469525701508,1473.4528289526186,1356.8097175657954,1315.225908124219,757.1346664055867,296.20721549268035,130.5187315909965,1.0519421544995933
Multiboson,4588.161421356313,127.38974784758035,124.42485805278865,118.17866757564947,112.70121932161261,70.97434814910606,24.236621681671565,11.956146625398292,0.0
ZJets,63745.582261475385,917.7714824799709,902.6937166258033,845.4046768307809,814.5799730696256,545.5965263586245,260.1309114013671,105.9924519391748,0.7979569234732604
Total,370117.7968253681,7932.587169776059,7840.609410012984,7390.4058956073695,7134.32212052712,3798.462971539515,1726.9729068138597,772.157455222586,4.509740841776544
