,5 GeV,10 GeV,20 GeV,30 GeV,40 GeV,50 GeV
1mm,0.9798807501792908,0.9705538153648376,0.9727708101272583,0.9701853394508362,0.9805994629859924,0.9840903282165527
10mm,0.9412158727645874,0.9696993827819824,0.9662784337997437,0.9874569177627563,0.9759693741798401,0.9872198104858398
100mm,0.9336537718772888,0.9090163707733154,0.9184452891349792,0.9101616740226746,0.9420119524002075,0.9553948044776917
