,5 GeV,10 GeV,20 GeV,30 GeV,40 GeV,50 GeV
1mm,0.989833652973175,0.9731519818305969,0.9746633768081665,0.9827321171760559,0.9901850819587708,1.0
10mm,0.9697725176811218,0.9795833826065063,0.9856657385826111,0.9899398684501648,0.9838535785675049,0.9956822395324707
100mm,1.0,0.9804356694221497,0.9889994859695435,0.9529992938041687,0.9898373484611511,0.9739930629730225
