,Preselections,n(good vertex) > 0,computing BDT score,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 2","dPhi(MET,all jets) > 0.75",BDT
Top,3966.4021836762045,66.316301368405,66.316301368405,49.977590001248835,45.01409457825828,41.866307451866426,41.84946567712028,33.09668114864989,0.500867209575812
ZJets,28746.12977562099,392.57500734346286,392.57500734346286,325.98210681854596,311.196850400685,309.9571777986906,309.03777317284136,292.5953426331428,6.880926102041816
DY,1895.2872955586074,30.405678538373376,30.405678538373376,27.027269811887447,23.648861085401517,23.648861085401517,23.648861085401517,23.648861085401517,6.756817452971862
QCD,9553.011595148286,80.77369827293356,80.77369827293356,0.4685457312321489,0.4685457312321489,0.4685457312321489,0.4685457312321489,0.0,0.0
Multiboson,2156.8139699916405,18.832476147881966,18.832476147881966,12.806028251242354,11.477233024606093,11.062039951558233,10.771077386110324,10.503941112371997,0.0
WJets,93278.65545905702,684.4902028930119,684.4902028930119,555.7825398270495,535.701197500452,533.5921368563231,532.6957853571405,489.9804722334171,12.561251342471204
Total,139596.30027905275,1273.3933645640686,1273.3933645640686,972.0440804412062,927.506782320635,920.595068875072,918.4715084098461,849.8252982129834,26.699862107060696
