,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet pT > 80 GeV,Leading jet |eta| < 2.4,"dPhi(MET,leading jet) > 2.0","dPhi(MET,all jets) > 0.75"
ZGamma,1665.1257291312033,55.63850323791335,48.78485585237076,40.679692607358106,36.34375529078072,36.9771632073744,37.0729841125317
Top,26174.931995913073,572.2135990648778,349.9827313254247,321.83636964561714,292.0601189377428,288.3927418974474,271.3836383788994
DY,5819.491801116749,283.63288433357684,224.69677190772816,222.95172172905967,216.97058314474518,215.3167889487609,198.2985723152057
ZJets,63745.58226147538,1077.2394881943524,883.7548042848285,875.9652121314682,839.2519664804602,836.8280031594394,791.0161455290349
WJets,214692.23521238868,4233.99679209658,3402.857533259624,3349.4705727616897,3217.3559969373314,3202.033834821763,3002.8621008842156
Multiboson,4588.161421356313,177.75538745784127,135.41712172023352,114.231785791346,106.8515681425807,102.61539422556291,99.93888943006385
QCD,53432.26840398662,143.8980408716217,73.61114889162403,73.61114889162403,43.300835776007226,38.84822417742643,16.049969065036212
Total,370117.7968253681,6544.3746952567635,5119.104967241834,4998.746503558163,4752.1348247096485,4721.012150437775,4416.622299714986
