,Preselections,n(good vertex) > 0,Leading jet pT > 80 GeV,Leading jet |eta| < 2.4,"dPhi(MET,leading jet) > 2.0","dPhi(MET,all jets) > 0.75",SSSF,theta < 70,BDT
ZGamma,0.0003246784514825821,8.252630718423388e-06,8.220479978474327e-06,8.037888631960093e-06,7.678261416567772e-06,5.064054747835636e-06,1.433118256359542e-06,7.406295284821926e-07,0.0
DY,0.00018700921571001666,7.141385011687137e-06,7.115921008088189e-06,6.785084576095475e-06,6.5364326839578484e-06,3.4476321977737655e-06,8.162579259469767e-07,3.5859293428384136e-07,3.1504761389887306e-09
QCD,2.4876471605028946e-06,4.442241270338129e-08,4.442241270338129e-08,4.205671581828676e-08,4.023962528353582e-08,2.6678690568635307e-11,2.6678690568635307e-11,2.6678690568635307e-11,0.0
WJets,0.0010131776773887344,1.9650663773016098e-05,1.945394971605272e-05,1.8472445471899496e-05,1.7860900263922328e-05,1.0811365941069815e-05,5.252831513514764e-06,2.398112579879299e-06,1.2089685101231204e-08
Top,0.00039884940443411364,2.2929092077502307e-05,2.2452237254380355e-05,2.0674848281020635e-05,2.0041200880046904e-05,1.1537096288137092e-05,4.513557915137632e-06,1.9888234426241515e-06,1.6029325382270785e-08
Multiboson,0.00065832021677796,1.8278181327264158e-05,1.7852771950134387e-05,1.6956553815827523e-05,1.6170636627909216e-05,1.0183566785970183e-05,3.477527613822883e-06,1.715496102997729e-06,0.0
ZJets,0.002421591906365046,3.486465908727442e-05,3.429187906922154e-05,3.2115560802616056e-05,3.0944579998990615e-05,2.0726332484524224e-05,9.881953969155472e-06,4.026482379576764e-06,3.031309714271133e-08
Total,1.6957574430746622e-05,3.634449316235726e-07,3.5923081460317e-07,3.386039772286921e-07,3.268710648595016e-07,1.7403302168878965e-07,7.912419196906786e-08,3.537770307589662e-08,2.0662142335156712e-10
