,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,4261,473,390,368,367,367,363,5.0,0.2,1.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,3558,431,381,366,366,366,362,5.0,0.1,1.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,6536,849,740,707,707,707,703,10.0,0.2,1.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,7390,932,797,747,747,747,742,10.0,0.1,1.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,8600,1121,941,901,900,900,892,20.0,0.1,1.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,7098,1102,962,909,909,909,898,20.0,0.2,1.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,10056,1321,1129,1095,1095,1095,1087,30.0,0.1,1.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,8377,1403,1225,1184,1181,1181,1167,30.0,0.2,1.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,10151,1464,1271,1216,1214,1214,1209,40.0,0.1,1.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,8179,1406,1195,1155,1154,1154,1146,40.0,0.2,1.0
sig_2018_Mchi-60p0_dMchi-20p0_ctau-1,7768,1671,1395,1354,1354,1354,1335,50.0,0.4,1.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,14604,2214,1918,1852,1852,1852,1845,50.0,0.1,1.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,761,140,119,114,114,114,114,50.0,0.2,1.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,11551,1828,1548,1484,1484,1484,1470,60.0,0.1,1.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,13602,2193,1856,1806,1806,1806,1787,70.0,0.1,1.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,10607,2173,1864,1800,1800,1800,1779,70.0,0.2,1.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,12770,2185,1904,1844,1844,1844,1831,80.0,0.1,1.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,48974,8556,7327,7073,7072,7072,7009,90.0,0.1,1.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,31711,6787,5763,5564,5564,5564,5496,90.0,0.2,1.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,59043,10687,9134,8850,8848,8848,8768,100.0,0.1,1.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,18196,4006,3417,3297,3296,3296,3245,100.0,0.2,1.0
