,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,3168,276,232,220,219,219,205,5.0,0.2,10.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,5002,379,314,295,295,295,289,5.0,0.1,10.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,7044,666,548,513,513,513,497,10.0,0.2,10.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,7999,754,642,608,608,608,593,10.0,0.1,10.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,8280,880,766,722,722,722,708,20.0,0.2,10.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,6515,676,590,569,569,569,562,20.0,0.1,10.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,7762,887,769,745,744,744,728,30.0,0.2,10.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,10374,1221,1051,1019,1018,1018,1010,30.0,0.1,10.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,10341,1200,1038,999,999,999,992,40.0,0.1,10.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,9065,1221,1044,1001,1001,1001,983,40.0,0.2,10.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,13492,1635,1386,1335,1335,1335,1321,50.0,0.1,10.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,3609,546,473,450,450,450,443,50.0,0.2,10.0
sig_2018_Mchi-60p0_dMchi-20p0_ctau-10,7429,1137,971,945,945,945,907,50.0,0.4,10.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,11566,1439,1228,1177,1176,1176,1164,60.0,0.1,10.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,10806,1450,1248,1212,1212,1212,1193,70.0,0.1,10.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,10438,1657,1413,1363,1362,1362,1336,70.0,0.2,10.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-10,9944,1390,1189,1149,1149,1149,1142,80.0,0.1,10.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-10,7516,1296,1079,1053,1053,1053,1028,80.0,0.2,10.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-10,32183,4523,3829,3702,3702,3702,3650,90.0,0.1,10.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-10,31933,5479,4658,4507,4505,4505,4404,90.0,0.2,10.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-10,17941,3169,2702,2627,2627,2627,2572,100.0,0.2,10.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-10,48028,7166,6171,5994,5993,5993,5917,100.0,0.1,10.0
