,Preselections,n(good vertex) > 0,Leading jet pT > 80 GeV,Leading jet |eta| < 2.4,"dPhi(MET,leading jet) > 2.0","dPhi(MET,all jets) > 0.75",SSSF,theta < 90,BDT
ZGamma,0.0003246784514825821,8.252630718423388e-06,8.220479978474327e-06,8.037888631960093e-06,7.678261416567772e-06,5.064054747835636e-06,1.433118256359542e-06,7.433229885634341e-07,0.0
Multiboson,0.00065832021677796,1.8278181327264158e-05,1.7852771950134387e-05,1.6956553815827523e-05,1.617063662790922e-05,1.0183566785970185e-05,3.477527613822883e-06,1.8428859171024904e-06,7.191051268196762e-08
QCD,2.4876471605028946e-06,4.442241270338129e-08,4.442241270338129e-08,4.205671581828676e-08,4.023962528353582e-08,2.6678690568635307e-11,2.6678690568635307e-11,2.6678690568635307e-11,0.0
DY,0.0001870092157100167,7.1413850116871376e-06,7.1159210080881896e-06,6.7850845760954754e-06,6.5364326839578484e-06,3.447632197773766e-06,8.162579259469767e-07,4.089506669250032e-07,9.378863989481411e-09
WJets,0.0010131776773887344,1.9650663773016098e-05,1.945394971605272e-05,1.84724454718995e-05,1.786090026392233e-05,1.0811365941069815e-05,5.252831513514764e-06,2.7120294257523443e-06,5.613250201939641e-08
ZJets,0.0024215919063650454,3.486465908727442e-05,3.429187906922153e-05,3.211556080261605e-05,3.0944579998990615e-05,2.0726332484524224e-05,9.881953969155472e-06,4.916215540358971e-06,8.351457874567472e-08
Top,0.00039884940443411364,2.2929092077502304e-05,2.2452237254380355e-05,2.0674848281020635e-05,2.0041200880046904e-05,1.1537096288137092e-05,4.513557915137632e-06,2.256554403739419e-06,3.84490545330516e-08
Total,1.6957574430746622e-05,3.634449316235726e-07,3.5923081460317e-07,3.386039772286921e-07,3.268710648595016e-07,1.7403302168878965e-07,7.912419196906787e-08,4.0416577314034704e-08,7.976317848702755e-10
