,Preselections,n(good vertex) > 0,Leading jet pT > 80 GeV,Leading jet |eta| < 2.4,"dPhi(MET,leading jet) > 2.0","dPhi(MET,all jets) > 0.75",BDT
Top,0.00039884940443411364,1.441884007522161e-05,1.3081108140784807e-05,1.1850984586059696e-05,1.1663140015636313e-05,1.0527611074062053e-05,5.8943592350415926e-08
DY,0.0001870092157100167,1.2572922194714522e-05,1.2438753789162897e-05,1.2061012144431807e-05,1.1803869358974388e-05,1.0578646488986276e-05,2.681051695005192e-07
WJets,0.0010131776773887344,2.7880492055569742e-05,2.732795649503297e-05,2.6045175006103446e-05,2.5870345409639833e-05,2.3874968564326336e-05,1.6890876585842667e-07
ZGamma,0.0003246784514825821,1.402788626798884e-05,1.1481506272837444e-05,1.0472316849214374e-05,1.0077846408121807e-05,1.0177111897754449e-05,1.6104433652857688e-07
ZJets,0.002421591906365046,4.89157054854095e-05,4.8321919074821816e-05,4.573820183265532e-05,4.55931186284432e-05,4.258467679969232e-05,5.813925216425271e-07
QCD,2.4876471605028946e-06,9.384610599823917e-09,9.384610599823917e-09,7.973452761906035e-09,7.3248730966519214e-09,1.4944774445629815e-09,0.0
Multiboson,0.0006583202167779597,4.711180402543793e-05,3.851169927524235e-05,3.619226632945992e-05,3.44060887956903e-05,3.27147238382492e-05,8.349598082140446e-08
Total,1.6957574430746622e-05,4.185304010915746e-07,4.0489187674364744e-07,3.8271802016871297e-07,3.786129509971249e-07,3.441967434229593e-07,2.9650462224850614e-09
