,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"|dPhi(MET,leading jet)| > 1.5","|dPhi(MET,all jets)| > 0.75",Vtx cos(collinear) < 0
DY-M4to50,2.0080058500826987e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,2.0080058500826987e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
