,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 2.0","dPhi(MET,all jets) > 0.75",BDT
Multiboson,0.00065832021677796,2.550476202951549e-05,1.942996785408618e-05,1.770159135551069e-05,1.5331314886888746e-05,1.4723498667001719e-05,1.4339467449403598e-05,0.0
QCD,2.4876471605028946e-06,6.699463890803315e-09,3.427115692283461e-09,2.015957854365578e-09,2.015957854365578e-09,1.808657529470419e-09,7.472387222814908e-10,0.0
WJets,0.0010131776773887344,1.9981118700655388e-05,1.6058798254264e-05,1.5388100742395406e-05,1.5183377606017765e-05,1.5111069110046927e-05,1.4171135932711939e-05,1.2678191834536773e-07
Top,0.00039884940443411364,8.719298802066127e-06,5.332980577491684e-06,4.768603177518302e-06,4.450365124748496e-06,4.394482223177423e-06,4.135300239079419e-06,4.493187580008688e-08
ZJets,0.0024215919063650454,4.0922591547254484e-05,3.3572420320658524e-05,3.211521541411422e-05,3.1881829255143e-05,3.17897467962295e-05,3.004942817778337e-05,4.6857918313631707e-07
DY,0.0001870092157100167,9.114535265538725e-06,7.2206248454501e-06,7.020330870810806e-06,6.972343973103871e-06,6.919199340186361e-06,6.372319397024729e-06,1.9596936758380248e-07
ZGamma,0.0003246784514825821,1.0848804242259678e-05,9.512429708363877e-06,8.471088395514421e-06,7.08657249265458e-06,7.210079023073604e-06,7.228762887337935e-06,0.0
Total,1.6957574430746622e-05,2.9984162325994073e-07,2.345404739933822e-07,2.221036455859215e-07,2.1772711468121872e-07,2.163011765880602e-07,2.0235503945585704e-07,2.210513482064704e-09
