,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,computing BDT score,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",BDT
QCD,1.7651668257743638e-06,8.736155331740678e-08,8.736155331740678e-08,6.157029004802629e-08,6.12063524578692e-08,6.12063524578692e-08,6.117855889045831e-08,2.9338393925576884e-08,0.0
Top,0.00012946820485290213,1.2774784812733056e-05,1.2774784812733056e-05,7.989827512265165e-06,7.173793286485686e-06,7.149992237438954e-06,7.149144894047255e-06,6.716168731860167e-06,2.685639554155196e-09
DY,1.126054423939207e-05,1.843971760412252e-06,1.843971760412252e-06,1.8065431367974857e-06,1.8065431367974857e-06,1.8065431367974857e-06,1.8065431367974857e-06,1.676348441301377e-06,0.0
Diboson,0.0006373026064192725,4.4354870924462705e-05,4.4354870924462705e-05,3.273392261823867e-05,3.073426504491715e-05,3.043375848016859e-05,3.029833749632638e-05,2.727574702766386e-05,8.385790667860528e-08
Triboson,0.001932566315603267,0.0001576889902956932,0.0001576889902956932,0.0001040776100203441,9.153826014584426e-05,9.138369774919824e-05,9.122913535255226e-05,7.609983025596557e-05,0.0
W+jets,0.002309963596556851,0.00017293078054504203,0.00017293078054504203,0.0001387286840990901,0.00013152649654643602,0.00013126502461070498,0.00013122087706437242,0.00011390976330273452,1.7008071108395289e-07
Z+jets,0.0066453386621012816,0.000398315510784627,0.000398315510784627,0.00032510230966450494,0.0003095804597860897,0.00030900214223926497,0.0003089645232817095,0.0002923516664890651,1.0413275881680159e-07
Total,1.878092097231049e-05,6.663360757289249e-07,4.442240504859499e-07,2.6985708923233747e-07,2.0633769834840156e-07,1.7164943309079406e-07,1.4708631177336656e-07,1.1266044761579626e-07,9.493177858598041e-11
