,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,1632.838965983291,454.1714071121988,390.18656456691826,380.05455946681246,380.05455946681246,380.05455946681246,378.1545474242414,289.44458350207077,5.0,0.2,1.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,33995.16975707621,6629.626690897439,5833.921958260197,5674.92198600186,5674.92198600186,5674.92198600186,5603.955793368511,2704.6748402079593,5.0,0.1,1.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,22398.718782849937,5676.6364067842915,4798.1519548034985,4690.186084284042,4690.186084284042,4690.186084284042,4647.939318819292,3463.54926983526,10.0,0.1,1.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,943.0769667935498,304.570801062688,262.9629763737102,255.05777549643628,255.05777549643628,255.05777549643628,253.39032944071963,209.48888921934585,10.0,0.2,1.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,739.5435238266502,251.5450498307965,217.24519918518476,211.3057636927897,211.3057636927897,211.3057636927897,209.5496449280115,181.9993647241586,20.0,0.2,1.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,18094.188168924808,5246.0665399310565,4498.2132670992605,4383.138288552407,4379.290014210065,4379.290014210065,4325.621150591045,3336.500619527422,20.0,0.1,1.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,38777.464257545704,14208.504104175143,12209.780269527566,11904.1957463686,11892.844445457262,11892.844445457262,11779.484638815811,10381.436197057912,30.0,0.2,1.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,20358.38780524787,6143.068940034805,5399.10194171631,5292.7908486955175,5289.564571178182,5289.564571178182,5241.302678797931,4095.284814513838,30.0,0.1,1.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,406.1787867834348,153.19157747061217,131.17277506482029,127.52363657439685,127.52363657439685,127.52363657439685,125.8495254382699,110.46699674290782,40.0,0.2,1.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,9985.147049686746,3175.518125841291,2720.662802222195,2640.4639471037167,2640.4639471037167,2640.4639471037167,2622.0632528177443,2127.8974746944136,40.0,0.1,1.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,4212.720128148122,1354.180154386341,1165.343597588267,1141.0760703049364,1139.1732280107067,1139.1732280107067,1129.6638792842302,915.9644443422632,50.0,0.1,1.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,168.2570665959281,66.6896245999605,56.61390540900666,55.060376408151974,55.060376408151974,55.060376408151974,55.060376408151974,50.14817601098398,50.0,0.2,1.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,2742.842928487485,879.4428269798357,752.0897761660282,727.6297440776302,727.6297440776302,727.6297440776302,721.6658956723796,584.1712964375499,60.0,0.1,1.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,75.1373992045313,28.47384842302785,24.381236320451066,23.58248804505999,23.569965466129553,23.569965466129553,23.35787088784321,18.815769431565663,70.0,0.2,1.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,1976.3460304394343,640.942071522724,538.5800510661443,523.9798718522578,523.7998484463391,523.7998484463391,518.9333343481896,417.8412563197107,70.0,0.1,1.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,1466.227224618235,474.69410029955037,409.7844613252791,400.3252960484305,400.0885631092646,400.0885631092646,397.0153932063299,306.89884926706725,80.0,0.1,1.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,44.39471437557343,16.55721301671875,14.199868281013678,13.813952475077405,13.801503050253741,13.801503050253741,13.658384573753366,10.325547712395418,90.0,0.2,1.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,1164.1743320838657,391.28065381709615,335.5752977164655,327.1842242950334,327.02568159553584,327.02568159553584,323.81691522092257,250.91880966293195,90.0,0.1,1.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,34.229722966703775,12.772592850476007,10.936591150839645,10.63187437555717,10.621500932065972,10.621500932065972,10.50339810661343,7.639185964689505,100.0,0.2,1.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,933.552909945247,308.1635796732752,259.6147540850578,252.85974670305296,252.85974670305296,252.85974670305296,249.9054719605377,188.25306783196734,100.0,0.1,1.0
