,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,0.008763662502496298,0.002437597958607197,0.0020941828533677606,0.0020398030430982114,0.0020398030430982114,0.0020398030430982114,0.0020296054273879907,0.001553487328409159,5.0,0.2,1.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,0.00798908269542234,0.0015580047474931062,0.0013710090373494723,0.00133364302517719,0.00133364302517719,0.00133364302517719,0.0013169655152374408,0.0006356159159391118,5.0,0.1,1.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,0.009289377626114068,0.00235426051552298,0.001989928345802283,0.0019451518676603596,0.0019451518676603596,0.0019451518676603596,0.001927630947750225,0.0014364311372481833,10.0,0.1,1.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,0.010215143894964229,0.0032990250728294657,0.002848340843100634,0.002762713935304859,0.002762713935304859,0.002762713935304859,0.002744652629604489,0.002269124602891823,10.0,0.2,1.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,0.013055442217561958,0.004440620135765651,0.003835111867830694,0.003730260761198495,0.003730260761198495,0.003730260761198495,0.003699259330826816,0.003212903788940748,20.0,0.2,1.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,0.01170682073523286,0.0033941705466261646,0.0029103143979245087,0.002835861643681994,0.002833371835493574,0.002833371835493574,0.002798648433725786,0.0021586939558240438,20.0,0.1,1.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,0.017071901906029047,0.006255339098164167,0.005375394576373889,0.005240860018654443,0.005235862572344465,0.005235862572344465,0.005185955557119954,0.0045704602864893255,30.0,0.2,1.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,0.014768538293440447,0.0044563523275041594,0.003916658064440245,0.003839537053517643,0.0038371966224621076,0.0038371966224621076,0.003802186109225499,0.002970833014100568,30.0,0.1,1.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,0.022328638764376747,0.008421314717526343,0.00721088743540131,0.0070102853906734265,0.0070102853906734265,0.0070102853906734265,0.0069182554176016675,0.006072640290230356,40.0,0.2,1.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,0.01962310937031886,0.006240623115587317,0.0053467278410726255,0.005189118654394336,0.005189118654394336,0.005189118654394336,0.005152957060111679,0.004181807705682587,40.0,0.1,1.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,0.02432813992508951,0.007820287908414282,0.006729771083890465,0.00658962795037442,0.006578639180130679,0.006578639180130679,0.006523723410894452,0.005289625346690472,50.0,0.1,1.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,0.028938229693327135,0.011469828363702857,0.009736923575974063,0.009469734922495743,0.009469734922495743,0.009469734922495743,0.009469734922495743,0.00862489442771714,50.0,0.2,1.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,0.030073886709453594,0.009642646201624758,0.008246284352938895,0.007978092461126218,0.007978092461126218,0.007978092461126218,0.00791270187698848,0.006405143074549071,60.0,0.1,1.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,0.04216370370952496,0.015978233490760333,0.013681645028584002,0.013233423690360568,0.013226396586504275,0.013226396586504275,0.013107378719876776,0.01055855720025278,70.0,0.2,1.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,0.0360351765558472,0.0116864457709647,0.009820055258901417,0.009553846797621777,0.00955056438901693,0.00955056438901693,0.009461832106290438,0.007618596749704759,70.0,0.1,1.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,0.04153772495941606,0.013447924473803255,0.011609056196323079,0.011341081220126809,0.01133437465544788,0.01133437465544788,0.011247312783973699,0.008694341352538944,80.0,0.1,1.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,0.05784867150762163,0.021574928239945643,0.018503182804388656,0.018000314005676667,0.017984091743697677,0.017984091743697677,0.017797600764981148,0.013454737262129783,90.0,0.2,1.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,0.048872664888312975,0.016426172390395347,0.014087631566945771,0.013735369789583944,0.013728714081749223,0.013728714081749223,0.013594008342746497,0.010533706645876679,90.0,0.1,1.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,0.06410983637037637,0.02392215789961179,0.02048345731024635,0.019912744464522448,0.01989331574272225,0.01989331574272225,0.019672117551255534,0.014307651939675663,100.0,0.2,1.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,0.05626132150046083,0.018571727479000488,0.015645893221734132,0.015238797236055878,0.015238797236055878,0.015238797236055878,0.015060755478252252,0.011345223457515182,100.0,0.1,1.0
