,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,0.00405029379938342,0.0008467443989091764,0.000749388969051658,0.0007267533810363393,0.0007267533810363393,0.0007267533810363393,0.0007176876396608652,0.0004187605165980529,5.0,0.1,10.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,0.004919914434607457,0.001338803137071179,0.0011524705588956716,0.001107594895074804,0.001107594895074804,0.001107594895074804,0.0010938052928639707,0.0008660211386361093,5.0,0.2,10.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,0.005639001254343149,0.001627455753309839,0.0014129336732321201,0.0013725305233226123,0.0013725305233226123,0.0013725305233226123,0.0013601031249521277,0.0010818607793313501,10.0,0.1,10.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,0.006674026940807194,0.002243562492033212,0.0019200401281914158,0.0018628820502104208,0.0018628820502104208,0.0018628820502104208,0.0018467954725324691,0.0016537307856949945,10.0,0.2,10.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,0.009663238937385993,0.003953824825298017,0.003446872415552771,0.0033378113837912392,0.0033358920871487405,0.0033358920871487405,0.0033110481563339692,0.0030891843693704206,20.0,0.2,10.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,0.008417038050360265,0.0030145670732643496,0.002562253218712155,0.002492302549942355,0.002492302549942355,0.002489785900605537,0.0024673364710514683,0.002172479021409663,20.0,0.1,10.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,0.01252823284605551,0.00547098125599839,0.0047397076363295395,0.0046400975886270205,0.0046400975886270205,0.0046400975886270205,0.004597776852712433,0.004383799503246226,30.0,0.2,10.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,0.010931604697521188,0.004239453889902715,0.003641884401435632,0.0035895401158518646,0.0035837105379720588,0.0035837105379720588,0.0035526394236252016,0.003224673463655522,30.0,0.1,10.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,0.014514106580446185,0.006010513115412619,0.0052016830195809275,0.005112037162495073,0.005112037162495073,0.005112037162495073,0.005053818288552225,0.004625991187772011,40.0,0.1,10.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,0.016957106880001304,0.0077117348934442245,0.006539792063846643,0.006365410647166713,0.0063626840386556355,0.0063626840386556355,0.0063272699231355,0.005978476707768388,40.0,0.2,10.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,0.021553250174175313,0.009797275526435186,0.008365060953150266,0.008106446493559108,0.008106446493559108,0.008106446493559108,0.007994236921622185,0.007545394210846278,50.0,0.2,10.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,0.018737326562158547,0.007769052039870114,0.00663906175843299,0.006463476187011766,0.006463476187011766,0.006463476187011766,0.006403351446149934,0.005922299266524785,50.0,0.1,10.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,0.022975174099629306,0.00972040456179763,0.008343282360311646,0.008131763447307082,0.008128048698951689,0.008128048698951689,0.008079823566490027,0.007378191323041027,60.0,0.1,10.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,0.027889745720711075,0.012477469071900798,0.010798040450660445,0.010488501608759276,0.010485146200713885,0.010485146200713885,0.010390886811417076,0.009313900217236704,70.0,0.1,10.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,0.032949563720200546,0.01591971057095067,0.013638268709079714,0.013285080573045034,0.013280821347870259,0.013280821347870259,0.013161599094459268,0.011594752212679324,70.0,0.2,10.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-10,0.03264120238697272,0.014676302553168867,0.012503823455429676,0.01215533894565478,0.012151962675419877,0.012151962675419877,0.012033585548327067,0.010592462646724882,80.0,0.1,10.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-10,0.038497388685334324,0.019033704682832178,0.016194127537897094,0.015751852624532343,0.015751852624532343,0.015751852624532343,0.015537505141603358,0.013430767891969985,80.0,0.2,10.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-10,0.04527900021883168,0.02270601642392803,0.01948486610572944,0.01901492810782009,0.01901102274339839,0.01901102274339839,0.018812181442049578,0.015920281650287547,90.0,0.2,10.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-10,0.03757387454106012,0.017582863844001127,0.015030991445984498,0.014675606222963052,0.014669667319615021,0.014669667319615021,0.014529331441894715,0.012605583513181296,90.0,0.1,10.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-10,0.051483929250728,0.025914605261794836,0.022117039877503745,0.021549259942494316,0.021541779394623334,0.021541779394623334,0.021291540623566998,0.01772880420465225,100.0,0.2,10.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-10,0.043000357661592534,0.020076641923583164,0.017224503588478983,0.01675708779369915,0.016752325230865606,0.016752325230865606,0.01659224272808975,0.014215239545729117,100.0,0.1,10.0
