,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",BDT
DY,1.2387214282735206e-05,1.574645883398543e-07,1.1547403144922648e-07,1.0497639222656955e-07,1.0497639222656955e-07,1.0497639222656955e-07,1.0497639222656955e-07,2.0995278445313907e-08
ZJets,0.002325627921854295,2.646921599691634e-05,1.9990272395766543e-05,1.901708461714986e-05,1.8887736803213013e-05,1.8838371057279224e-05,1.666787712330426e-05,2.574699435400345e-07
QCD,2.164011284450703e-06,1.4514760582759435e-08,3.887012049820888e-09,3.887012049820888e-09,3.887012049820888e-09,3.6085635865566724e-09,0.0,0.0
WJets,0.0009708173462032791,6.342379254724219e-06,4.454795283111755e-06,4.276978199990154e-06,4.262938712232608e-06,4.2439136829287416e-06,3.5212905492438358e-06,6.533682128421948e-08
Multiboson,0.000644127781279855,4.720655734292516e-06,2.789583827491273e-06,2.518847816661651e-06,2.4175269409728237e-06,2.3757789461729123e-06,2.0788917349322555e-06,2.9786440444457412e-08
Top,0.0003723517457608744,3.881046727731084e-06,2.157043214935166e-06,2.027859210037787e-06,1.955951137281758e-06,1.9547323687780237e-06,1.3543643348443967e-06,9.370348356336009e-08
Total,1.3164740991835971e-05,1.0142468174871033e-07,6.522601226772821e-08,6.238289139323392e-08,6.197235397856121e-08,6.148711444375739e-08,4.8868478538491394e-08,1.2666987527515861e-09
