,m1,delta,ctau,Signal,Background,S/sqrt(B)
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,70.0,0.2,10.0,0.31811038952939313,136.87341354070207,0.02719056952269948
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,70.0,0.2,100.0,0.008663334625691108,136.87341354070207,0.0007405008141568356
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,70.0,0.1,10.0,10.01634260705924,136.87341354070207,0.8561495285436325
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,80.0,0.1,1.0,66.6436208181161,136.87341354070207,5.69638108261778
sig_2018_Mchi-88p0_dMchi-16p0_ctau-10,80.0,0.2,10.0,0.23564234064531708,136.87341354070207,0.02014159127366729
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,80.0,0.1,100.0,0.23854635933434742,136.87341354070207,0.02038981303774143
sig_2018_Mchi-84p0_dMchi-8p0_ctau-10,80.0,0.1,10.0,6.968098212989767,136.87341354070207,0.595600034257258
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,80.0,0.2,100.0,0.006259660898943516,136.87341354070207,0.0005350461678194277
68,80.0,0.2,1.0,0.0,136.87341354070207,0.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,90.0,0.2,1.0,1.441048948113264,136.87341354070207,0.12317403926119233
sig_2018_Mchi-99p0_dMchi-18p0_ctau-10,90.0,0.2,10.0,0.1458838184715037,136.87341354070207,0.012469457895589339
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,90.0,0.1,100.0,0.1746573471564877,136.87341354070207,0.014928882855836214
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,90.0,0.2,100.0,0.004334252292817588,136.87341354070207,0.00037047135892393396
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,90.0,0.1,1.0,49.24445098303051,136.87341354070207,4.209182447772699
sig_2018_Mchi-94p5_dMchi-9p0_ctau-10,90.0,0.1,10.0,5.04180994598619,136.87341354070207,0.4309500361160264
sig_2018_Mchi-105p0_dMchi-10p0_ctau-10,100.0,0.1,10.0,3.955897478750191,136.87341354070207,0.33813138130997733
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,100.0,0.2,1.0,0.979129902083397,136.87341354070207,0.08369138686019743
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,100.0,0.1,100.0,0.12457491862971387,136.87341354070207,0.010648074056295118
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,100.0,0.1,1.0,36.21171545493988,136.87341354070207,3.0952059380090637
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,100.0,0.2,100.0,0.0033179364071623404,136.87341354070207,0.00028360149030123833
sig_2018_Mchi-110p0_dMchi-20p0_ctau-10,100.0,0.2,10.0,0.10396935931188044,136.87341354070207,0.0088868084339603
