,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,computing BDT score,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",BDT
QCD,38039.826987393106,1882.665323764061,1882.665323764061,1326.8565592734058,1319.0136048502673,1319.0136048502673,1318.4146458848963,632.2503985011942,0.0
Top,5667.491119528111,559.2182232101463,559.2182232101463,349.75596150245974,314.03393436003637,312.9920396781639,312.9549470873375,294.0013471903534,0.5337385721138144
DY,14495.724273410278,671.4366188760675,671.4366188760675,623.2546663595167,623.2546663595167,623.2546663595167,623.2546663595167,455.6547380034702,0.0
Diboson,4424.202427727811,307.91483613745237,307.91483613745237,227.24134258661695,213.35956993826676,211.2734308578405,210.3333282449762,189.35027881949492,0.5821478691200881
Triboson,52.9969216443768,4.324317874842515,4.324317874842515,2.8541286778355026,2.510261076809429,2.5060224997639327,2.5017839227184364,2.0868917711456794,0.0
W+jets,227212.60103568572,17009.814572548967,17009.814572548967,13645.628528257404,12937.207075458504,12911.48817724563,12907.14573702427,11204.39025184293,20.308503335929405
Z+jets,142220.15349869026,8524.545695130366,8524.545695130366,6957.674053084992,6625.483327444259,6613.106469850912,6612.301368081079,6256.761468124414,7.886192154671587
Total,432112.9962640797,28959.919587541903,28959.919587541903,23133.26523974223,22034.86243948766,21993.634411342093,21986.906476604796,19034.495374253,29.310581931834893
