,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,computing BDT score,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",BDT
QCD,1.7651668257743638e-06,8.736155331740678e-08,8.736155331740678e-08,6.157029004802629e-08,6.12063524578692e-08,6.12063524578692e-08,6.117855889045831e-08,2.9338393925576884e-08,0.0
Top,0.00012946820485290213,1.2774784812733056e-05,1.2774784812733056e-05,7.989827512265165e-06,7.173793286485686e-06,7.149992237438954e-06,7.149144894047255e-06,6.716168731860168e-06,3.430205819515601e-08
DY,1.1260544239392072e-05,5.215842691400093e-07,5.215842691400093e-07,4.841556455252427e-07,4.841556455252427e-07,4.841556455252427e-07,4.841556455252427e-07,3.5396095002913394e-07,1.1148038368872535e-07
Diboson,0.0006373026064192725,4.4354870924462705e-05,4.4354870924462705e-05,3.273392261823867e-05,3.073426504491715e-05,3.0433758480168583e-05,3.0298337496326378e-05,2.7275747027663858e-05,3.3167057491620194e-07
Triboson,0.0019325663156032672,0.00015768899029569325,0.00015768899029569325,0.0001040776100203441,9.153826014584427e-05,9.138369774919827e-05,9.122913535255226e-05,7.609983025596556e-05,0.0
W+jets,0.0023099635965568507,0.000172930780545042,0.000172930780545042,0.00013872868409909008,0.00013152649654643602,0.00013126502461070495,0.0001312208770643724,0.00011390976330273452,7.867621875634791e-07
Z+jets,0.0066453386621012816,0.000398315510784627,0.000398315510784627,0.00032510230966450494,0.0003095804597860897,0.00030900214223926497,0.0003089645232817095,0.0002923516664890651,7.062097861537625e-07
Total,1.878092097231049e-05,6.29342285282364e-07,4.1956152352157594e-07,2.5136019400905696e-07,1.9154018216977717e-07,1.5931816960860704e-07,1.3651665736006344e-07,1.0341200000415603e-07,1.1581168584813928e-09
