,Preselections,n(good vertex) > 0,No b-tagged jets,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,0.0018355667168386978,0.0009775363549462779,0.0008533605484685049,5.0,0.1,100.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,0.0019858954950045713,0.0010286152888920807,0.0009127911638333532,5.0,0.2,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,0.0023086230777789605,0.001302515835482565,0.0011104603879351547,10.0,0.1,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,0.0024673627086135206,0.0013792126007947012,0.0011785158178017916,10.0,0.2,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,0.003908501818961255,0.0022838221292526785,0.001992355668126962,20.0,0.2,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,0.0033920777102450315,0.002075541888726313,0.0017974045231975268,20.0,0.1,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,0.005550480075416692,0.0033134580224713503,0.0028545565635570433,30.0,0.2,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,0.004728859304907245,0.0030000210562490335,0.0026222749487260204,30.0,0.1,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,0.007651553100853787,0.004679238254446627,0.004060085396298361,40.0,0.2,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,0.006617018034462653,0.004182911247427559,0.0036341388375361653,40.0,0.1,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,0.010203898828411074,0.006365949063323702,0.0054066289810280315,50.0,0.2,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,0.008768426701075858,0.005644780453956094,0.004876214909891133,50.0,0.1,100.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,0.011007984287985505,0.0071485071955859235,0.006221181981849935,60.0,0.1,100.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,0.015570306770111413,0.00994716322335871,0.008521853224550024,70.0,0.2,100.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,0.013686654659428905,0.009057318447223057,0.007667807007035942,70.0,0.1,100.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,0.016073129355739416,0.010531368889297546,0.008966655312996842,80.0,0.1,100.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,0.01936085298339917,0.012551509194163401,0.010705699552313002,80.0,0.2,100.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,0.022283842925585023,0.014669330195040657,0.012403788824031254,90.0,0.2,100.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,0.018630260359173124,0.012264542204938483,0.01044891080901142,90.0,0.1,100.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,0.02605760977829798,0.01725799101836626,0.014765322620207813,100.0,0.2,100.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,0.02119485938134613,0.014322463717565938,0.012163038568591706,100.0,0.1,100.0
