,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vtx CosCollinear < 0,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,2689,3,2,1,1,1,1,0,5.0,0.1,100.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,583,3,2,2,2,2,1,0,5.0,0.2,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,1807,6,3,2,2,2,1,0,10.0,0.2,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,3318,7,5,4,4,4,3,0,10.0,0.1,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,2610,7,2,2,2,2,2,0,20.0,0.1,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,2360,8,4,4,4,4,1,0,20.0,0.2,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,5208,15,7,7,7,7,6,0,30.0,0.1,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,2164,9,2,2,2,2,1,0,30.0,0.2,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,4510,16,9,9,9,9,5,0,40.0,0.2,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,6078,23,9,9,8,8,4,0,40.0,0.1,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,3180,9,2,1,1,1,1,0,50.0,0.2,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,6046,23,6,6,6,6,3,0,50.0,0.1,100.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,3442,8,3,2,2,2,2,0,60.0,0.1,100.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,4196,17,8,7,7,7,5,0,70.0,0.1,100.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,4425,10,5,5,5,5,4,0,70.0,0.2,100.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,4797,21,9,9,9,9,7,0,80.0,0.1,100.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,5382,22,10,8,8,8,6,1,80.0,0.2,100.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,12080,37,14,13,13,13,9,1,90.0,0.2,100.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,13749,53,23,19,19,19,8,0,90.0,0.1,100.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,6734,31,7,6,6,6,5,1,100.0,0.2,100.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,16509,55,25,22,22,22,14,0,100.0,0.1,100.0
