,Preselections,n(good vertex) > 0,No b-tagged jets,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,1632.838965983291,1589.782768188073,1285.1476034906332,5.0,0.2,1.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,33995.16975707621,33181.43733349949,27577.133676381756,5.0,0.1,1.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,943.0769667935498,916.237312347202,758.5317905135105,10.0,0.2,1.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,22398.718782849937,21863.06616714602,18264.127434660222,10.0,0.1,1.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,739.5435238266502,720.7813280679609,604.0953409296658,20.0,0.2,1.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,18094.188168924808,17603.394195144898,14681.366087759296,20.0,0.1,1.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,38777.464257545704,37883.40613089746,32165.065162113526,30.0,0.2,1.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,20358.38780524787,19830.37564666674,16971.403876012188,30.0,0.1,1.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,406.1787867834348,396.7850632204112,331.8110484908665,40.0,0.2,1.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,9985.147049686746,9765.717483401058,8324.951193341867,40.0,0.1,1.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,4212.720128148122,4120.421880665239,3492.7827308454866,50.0,0.1,1.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,168.2570665959281,164.38075328409943,135.705875113882,50.0,0.2,1.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,2742.842928487485,2668.5628751027916,2269.8130419168124,60.0,0.1,1.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,75.1373992045313,73.23457688677357,60.994170986998334,70.0,0.2,1.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,1976.3460304394343,1933.1168844655522,1626.1002847804275,70.0,0.1,1.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,1466.227224618235,1436.3092469977169,1218.5241723194104,80.0,0.1,1.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,44.39471437557343,43.3070326086715,35.72446234768419,90.0,0.2,1.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,1164.1743320838657,1139.7105042353105,966.435971146052,90.0,0.1,1.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,34.229722966703775,33.2683406081921,27.499455118532282,100.0,0.2,1.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,933.552909945247,913.4975416699469,763.2337004390262,100.0,0.1,1.0
