,Preselections,n(good vertex) > 0,No b-tagged jets,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,2578,2558,2043,5.0,0.2,1.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,1923,1910,1574,5.0,0.1,1.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,4533,4504,3672,10.0,0.2,1.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,4767,4731,3908,10.0,0.1,1.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,5477,5438,4497,20.0,0.2,1.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,4718,4675,3855,20.0,0.1,1.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,6850,6806,5714,30.0,0.2,1.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,6323,6266,5304,30.0,0.1,1.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,6788,6744,5586,40.0,0.2,1.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,7597,7545,6369,40.0,0.1,1.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,8853,8794,7392,50.0,0.1,1.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,651,648,527,50.0,0.2,1.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,9197,9138,7673,60.0,0.1,1.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,12044,11976,9852,70.0,0.2,1.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,10969,10902,9085,70.0,0.1,1.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,12401,12329,10360,80.0,0.1,1.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,28531,28386,23106,90.0,0.2,1.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,36636,36408,30599,90.0,0.1,1.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,16519,16420,13369,100.0,0.2,1.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,4423,4399,3634,100.0,0.1,1.0
