,Preselections,n(good vertex) > 0,No b-tagged jets,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,2578,1945,1666,5.0,0.2,1.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,1923,1431,1235,5.0,0.1,1.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,4533,3639,3142,10.0,0.2,1.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,4767,3769,3220,10.0,0.1,1.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,5477,4536,3924,20.0,0.2,1.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,4718,3800,3250,20.0,0.1,1.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,6850,5846,5086,30.0,0.2,1.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,6323,5172,4508,30.0,0.1,1.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,6788,5830,5001,40.0,0.2,1.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,7597,6385,5527,40.0,0.1,1.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,8853,7370,6357,50.0,0.1,1.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,651,570,483,50.0,0.2,1.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,9197,7699,6644,60.0,0.1,1.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,12044,10434,8945,70.0,0.2,1.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,10969,9281,7918,70.0,0.1,1.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,12401,10578,9141,80.0,0.1,1.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,28531,24677,21049,90.0,0.2,1.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,36636,31385,27092,90.0,0.1,1.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,16519,14299,12220,100.0,0.2,1.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,4423,3814,3248,100.0,0.1,1.0
