,Preselections,n(good vertex) > 0,No b-tagged jets,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,1789,431,383,5.0,0.1,10.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,1426,421,365,5.0,0.2,10.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,3628,1159,1010,10.0,0.1,10.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,3733,1358,1161,10.0,0.2,10.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,5052,2180,1924,20.0,0.2,10.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,3367,1287,1101,20.0,0.1,10.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,5036,2342,2037,30.0,0.2,10.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,5634,2355,2036,30.0,0.1,10.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,6223,3009,2571,40.0,0.2,10.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,6479,2874,2500,40.0,0.1,10.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,2499,1216,1042,50.0,0.2,10.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,7792,3451,2961,50.0,0.1,10.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,6190,2810,2430,60.0,0.1,10.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,7741,3983,3435,70.0,0.2,10.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,8286,3938,3413,70.0,0.1,10.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-10,9646,4615,3960,80.0,0.1,10.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-10,5572,2911,2494,80.0,0.2,10.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-10,23220,12347,10672,90.0,0.2,10.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-10,31600,15752,13576,90.0,0.1,10.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-10,13788,7385,6339,100.0,0.2,10.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-10,27137,13499,11655,100.0,0.1,10.0
