,Preselections,n(good vertex) > 0,No b-tagged jets,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,1789,1213,1062,5.0,0.1,10.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,1426,930,793,5.0,0.2,10.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,3628,2537,2177,10.0,0.1,10.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,3733,2579,2190,10.0,0.2,10.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,5052,3649,3172,20.0,0.2,10.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,3367,2478,2133,20.0,0.1,10.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,5036,3784,3272,30.0,0.2,10.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,5634,4318,3740,30.0,0.1,10.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,6223,4811,4105,40.0,0.2,10.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,6479,5043,4358,40.0,0.1,10.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,2499,1950,1663,50.0,0.2,10.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,7792,6039,5159,50.0,0.1,10.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,6190,4759,4078,60.0,0.1,10.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,7741,6115,5229,70.0,0.2,10.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,8286,6472,5560,70.0,0.1,10.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-10,9646,7659,6564,80.0,0.1,10.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-10,5572,4417,3740,80.0,0.2,10.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-10,23220,18518,15861,90.0,0.2,10.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-10,31600,25296,21620,90.0,0.1,10.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-10,13788,11027,9368,100.0,0.2,10.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-10,27137,21791,18755,100.0,0.1,10.0
