,Preselections,n(good vertex) > 0,No b-tagged jets,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,1632.838965983291,1231.979889653613,1055.2758853125135,5.0,0.2,1.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,33995.16975707621,25298.011493453014,21832.530009487946,5.0,0.1,1.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,943.0769667935498,757.0569299912654,653.6638597577503,10.0,0.2,1.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,22398.718782849937,17708.844112485036,15129.699389529074,10.0,0.1,1.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,739.5435238266502,612.4803400155712,529.8273338689525,20.0,0.2,1.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,18094.188168924808,14573.65366544239,12464.594946705158,20.0,0.1,1.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,38777.464257545704,33093.74418382183,28790.555925298166,30.0,0.2,1.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,20358.38780524787,16652.56087673283,14514.872784029772,30.0,0.1,1.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,406.1787867834348,348.85575963676484,299.25656416599116,40.0,0.2,1.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,9985.147049686746,8392.24803570693,7264.36198954537,40.0,0.1,1.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,4212.720128148122,3506.989993967225,3024.9705960814713,50.0,0.1,1.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,168.2570665959281,147.321530196243,124.85144741891851,50.0,0.2,1.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,2742.842928487485,2296.0578105126874,1981.415435386959,60.0,0.1,1.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,75.1373992045313,65.09249204547942,55.80335225430862,70.0,0.2,1.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,1976.3460304394343,1672.2547642681789,1426.668669740336,70.0,0.1,1.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,1466.227224618235,1250.672064500103,1080.775238207149,80.0,0.1,1.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,44.39471437557343,38.39779960171513,32.752486170261,90.0,0.2,1.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,1164.1743320838657,997.3225016144698,860.9082845132838,90.0,0.1,1.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,34.229722966703775,29.629638669037348,25.321636970246118,100.0,0.2,1.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,933.552909945247,805.0084727823843,685.55595792548,100.0,0.1,1.0
