,Preselections,n(good vertex) > 0,No b-tagged jets
ZGamma,0.0003138723784259661,2.7288528201980234e-06,1.5454410477959738e-06
TTX,0.0012716537742563044,1.89301602414527e-05,4.959587386120599e-06
WJets,0.0009680228392532291,4.881461338157486e-06,2.649611860976885e-06
ZJets,0.0023187058776003304,1.3742468057792092e-05,7.985760391469192e-06
SingleTop,0.0002229452222603561,1.773523807840155e-06,6.32301263783971e-07
Multiboson,0.0006260018573140773,3.538045001382507e-06,1.7498945506387904e-06
DY-M50,0.00037497051773657927,3.7962012904157483e-06,1.9191165528089337e-06
TTbar,0.000414353462647701,5.76801627075103e-06,2.043326035253963e-06
DY-M4to50,2.4939579509275033e-05,2.9507886524739993e-07,1.559011759279736e-07
QCD,2.1688027237188067e-06,1.6384591779932244e-08,5.049920606279823e-09
Total,1.3806305234903553e-05,8.752414918834615e-08,4.132390463665923e-08
