,Preselections,n(good vertex) > 0,No b-tagged jets,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,0.00405029379938342,0.002805271901803143,0.002429368403987616,5.0,0.1,10.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,0.004919914434607457,0.0032705103750087093,0.002759907269681663,5.0,0.2,10.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,0.005639001254343149,0.004003861156085662,0.003408520328273894,10.0,0.1,10.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,0.006674026940807194,0.004694776943371217,0.003947516663711934,10.0,0.2,10.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,0.009663238937385993,0.007082934654147652,0.006095977751679574,20.0,0.2,10.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,0.008417038050360265,0.006279215693036241,0.005374623705086341,20.0,0.1,10.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,0.01252823284605551,0.009543466252565441,0.008200160573839536,30.0,0.2,10.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,0.010931604697521188,0.008475223321219263,0.007288242125386458,30.0,0.1,10.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,0.016957106880001304,0.013273079359724774,0.011242795366243652,40.0,0.2,10.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,0.014514106580446185,0.011458674250624436,0.009829889039559085,40.0,0.1,10.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,0.021553250174175313,0.017033706178334912,0.014411260905276824,50.0,0.2,10.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,0.018737326562158547,0.01467077415445492,0.012463550133483417,50.0,0.1,10.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,0.022975174099629306,0.017949447432792153,0.015224926871270673,60.0,0.1,10.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,0.032949563720200546,0.026454806701755568,0.02241999273663567,70.0,0.2,10.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,0.027889745720711075,0.022089650646057012,0.018821660989079215,70.0,0.1,10.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-10,0.03264120238697272,0.02634411864380034,0.02237825080007845,80.0,0.1,10.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-10,0.038497388685334324,0.03103471717244706,0.026046731953349143,80.0,0.2,10.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-10,0.04527900021883168,0.03668557399077179,0.03113214578311877,90.0,0.2,10.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-10,0.03757387454106012,0.030516997893686143,0.025854713729296677,90.0,0.1,10.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-10,0.051483929250728,0.04183195310429583,0.03524539934217402,100.0,0.2,10.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-10,0.043000357661592534,0.035015856793006304,0.0298933123739909,100.0,0.1,10.0
