,Preselections,n(good vertex) > 0,No b-tagged jets,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,2689,1457,1263,5.0,0.1,100.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,583,313,272,5.0,0.2,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,1807,1026,869,10.0,0.2,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,3318,1916,1613,10.0,0.1,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,2360,1417,1219,20.0,0.2,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,2610,1618,1392,20.0,0.1,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,2164,1315,1120,30.0,0.2,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,5208,3357,2907,30.0,0.1,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,4510,2808,2412,40.0,0.2,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,6078,3915,3363,40.0,0.1,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,3180,2019,1698,50.0,0.2,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,6046,3963,3388,50.0,0.1,100.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,3442,2266,1956,60.0,0.1,100.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,4425,2874,2440,70.0,0.2,100.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,4196,2827,2372,70.0,0.1,100.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,4797,3198,2694,80.0,0.1,100.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,5382,3558,3001,80.0,0.2,100.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,12080,8067,6767,90.0,0.2,100.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,13749,9213,7771,90.0,0.1,100.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,6734,4533,3842,100.0,0.2,100.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,16509,11320,9541,100.0,0.1,100.0
