,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vtx CosCollinear < 0,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,1923,6,2,2,2,2,1,0,5.0,0.1,1.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,2578,6,4,4,4,4,3,0,5.0,0.2,1.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,4767,24,11,10,10,10,7,0,10.0,0.1,1.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,4533,23,10,8,8,8,4,0,10.0,0.2,1.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,4718,24,8,8,8,8,4,1,20.0,0.1,1.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,5477,25,8,8,8,8,5,0,20.0,0.2,1.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,6850,32,8,8,8,8,7,0,30.0,0.2,1.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,6323,30,9,8,8,8,5,0,30.0,0.1,1.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,7597,36,12,11,11,11,8,0,40.0,0.1,1.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,6788,41,19,17,17,17,7,0,40.0,0.2,1.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,651,3,0,0,0,0,0,0,50.0,0.2,1.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,8853,44,13,13,13,13,6,1,50.0,0.1,1.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,9197,54,20,18,18,18,12,1,60.0,0.1,1.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,12044,64,26,26,26,26,16,0,70.0,0.2,1.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,10969,56,20,19,19,19,16,1,70.0,0.1,1.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,12401,54,19,18,18,18,13,2,80.0,0.1,1.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,28531,163,68,65,65,65,41,8,90.0,0.2,1.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,36636,197,90,85,85,85,52,7,90.0,0.1,1.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,16519,88,35,34,34,34,24,7,100.0,0.2,1.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,4423,21,7,6,6,6,5,2,100.0,0.1,1.0
