,Preselections,n(good vertex) > 0,No b-tagged jets
DY-M4to50,2.4939579509275033e-05,1.435889186483621e-05,5.681177815870464e-06
DY-M50,0.00037497051773657927,0.00019541711941662497,8.277155957386175e-05
SingleTop,0.0002229452222603561,0.00012584047491458804,3.825623271751717e-05
ZJets,0.0023187058776003304,0.0009758168746509241,0.0005559766458483089
TTX,0.0012716537742563044,0.0010790921084572768,0.0002579015202258306
QCD,2.1688027237188067e-06,1.7262280438027878e-06,6.081866799866048e-07
Multiboson,0.0006260018573140773,0.00031653635157792136,0.0001492034555948448
TTbar,0.00041435346264770114,0.0003314186686549158,9.036639910074939e-05
WJets,0.0009680228392532291,0.00043544626829263776,0.00022141033261221081
ZGamma,0.00031387237842596616,0.000124010670920266,6.11610979182939e-05
Total,1.3806305234903553e-05,7.26432995122245e-06,3.2718700671220137e-06
