,Preselections,n(good vertex) > 0,No b-tagged jets,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,0.0018355667168386978,0.001770012398313508,0.0015004362359381214,5.0,0.1,100.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,0.0019858954950045713,0.001890537805221129,0.001638399652931773,5.0,0.2,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,0.0024673627086135206,0.0023622318036712426,0.0019390242920136313,10.0,0.2,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,0.0023086230777789605,0.0022265338211656174,0.001862581157695205,10.0,0.1,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,0.003908501818961255,0.003732976318305775,0.0030573128005056613,20.0,0.2,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,0.0033920777102450315,0.003310249490033026,0.0028020880908304477,20.0,0.1,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,0.005550480075416692,0.00534542407353958,0.004257874550188853,30.0,0.2,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,0.004728859304907245,0.004578148037920765,0.0038980904074329714,30.0,0.1,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,0.007651553100853787,0.007318925639079316,0.0057632894487667525,40.0,0.2,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,0.006617018034462653,0.006402598035495598,0.0053693114497259786,40.0,0.1,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,0.010203898828411074,0.009812278165923926,0.007591891577471035,50.0,0.2,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,0.008768426701075858,0.008484155975624286,0.007023814224522915,50.0,0.1,100.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,0.011007984287985505,0.010627569852115664,0.008817861822102632,60.0,0.1,100.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,0.015570306770111413,0.01490171077357614,0.011667749393362415,70.0,0.2,100.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,0.013686654659428905,0.013246358983640382,0.01081314571725939,70.0,0.1,100.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,0.016073129355739416,0.015500228847588993,0.012384215636161433,80.0,0.1,100.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,0.01936085298339917,0.018569199697786594,0.01456150926965868,80.0,0.2,100.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,0.022283842925585023,0.02135223149311782,0.01659256219668483,90.0,0.2,100.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,0.018630260359173124,0.018017728192178666,0.014443180117143309,90.0,0.1,100.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,0.02605760977829798,0.02498571500595181,0.019668077346987407,100.0,0.2,100.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,0.02119485938134613,0.020528685096996024,0.016419197804374043,100.0,0.1,100.0
