,Preselections,n(good vertex) > 0,No b-tagged jets,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,2689,2656,2230,5.0,0.1,100.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,583,575,491,5.0,0.2,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,1807,1787,1438,10.0,0.2,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,3318,3283,2712,10.0,0.1,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,2360,2344,1879,20.0,0.2,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,2610,2595,2174,20.0,0.1,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,2164,2149,1681,30.0,0.2,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,5208,5167,4344,30.0,0.1,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,4510,4480,3448,40.0,0.2,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,6078,6028,4980,40.0,0.1,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,3180,3161,2397,50.0,0.2,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,6046,5993,4890,50.0,0.1,100.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,3442,3409,2788,60.0,0.1,100.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,4425,4390,3359,70.0,0.2,100.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,4196,4170,3348,70.0,0.1,100.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,4797,4759,3733,80.0,0.1,100.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,5382,5352,4107,80.0,0.2,100.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,12080,11997,9131,90.0,0.2,100.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,13749,13659,10770,90.0,0.1,100.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,6734,6695,5160,100.0,0.2,100.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,16509,16416,12918,100.0,0.1,100.0
