,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vtx CosCollinear < 0,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,0.00798908269542234,2.495393037466442e-05,8.310430711922623e-06,8.310430711922623e-06,8.310430711922623e-06,8.310430711922623e-06,4.150435523383073e-06,0.0,5.0,0.1,1.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,0.008763662502496298,2.0370002735549695e-05,1.3579748350578142e-05,1.3579748350578142e-05,1.3579748350578142e-05,1.3579748350578142e-05,1.018045483846386e-05,0.0,5.0,0.2,1.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,0.009289377626114068,4.676440780097413e-05,2.141242369485129e-05,1.9469423178687343e-05,1.9469423178687343e-05,1.9469423178687343e-05,1.363090241283726e-05,0.0,10.0,0.1,1.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,0.010215143894964229,5.182396837056729e-05,2.253941108170862e-05,1.80383145739798e-05,1.80383145739798e-05,1.80383145739798e-05,8.996162402037117e-06,0.0,10.0,0.2,1.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,0.01170682073523286,5.95170101349623e-05,1.9839081684820953e-05,1.9839081684820953e-05,1.9839081684820953e-05,1.9839081684820953e-05,9.898486364563496e-06,2.4767648668016718e-06,20.0,0.1,1.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,0.013055442217561958,5.9592415814602864e-05,1.905452645861803e-05,1.905452645861803e-05,1.905452645861803e-05,1.905452645861803e-05,1.1906063630331179e-05,0.0,20.0,0.2,1.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,0.017071901906029047,7.972069971951265e-05,1.993472037299129e-05,1.993472037299129e-05,1.993472037299129e-05,1.993472037299129e-05,1.7451415036015527e-05,0.0,30.0,0.2,1.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,0.014768538293440447,7.001498977299659e-05,2.0964674541911542e-05,1.8641088339096014e-05,1.8641088339096014e-05,1.8641088339096014e-05,1.1679995590333434e-05,0.0,30.0,0.1,1.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,0.01962310937031886,9.298362726971484e-05,3.0993199734655105e-05,2.841572713006321e-05,2.841572713006321e-05,2.841572713006321e-05,2.0683448524802844e-05,0.0,40.0,0.1,1.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,0.022328638764376747,0.00013473390442381167,6.240342060872576e-05,5.584234035422668e-05,5.584234035422668e-05,5.584234035422668e-05,2.3008372645184215e-05,0.0,40.0,0.2,1.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,0.028938229693327135,0.00013342104347176465,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.2,1.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,0.02432813992508951,0.00012085660649418271,3.5753197840111306e-05,3.5753197840111306e-05,3.5753197840111306e-05,3.5753197840111306e-05,1.6498800176963745e-05,2.7537045339879303e-06,50.0,0.1,1.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,0.030073886709453594,0.0001765665343017498,6.54506872597028e-05,5.889689206636387e-05,5.889689206636387e-05,5.889689206636387e-05,3.92495760693541e-05,3.2709805735687964e-06,60.0,0.1,1.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,0.04216370370952496,0.00022399671579011407,9.096765181601433e-05,9.096765181601433e-05,9.096765181601433e-05,9.096765181601433e-05,5.594703193865279e-05,0.0,70.0,0.2,1.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,0.0360351765558472,0.00018388050442640007,6.565987058754658e-05,6.237289359403251e-05,6.237289359403251e-05,6.237289359403251e-05,5.252238024745992e-05,3.2783075287182198e-06,70.0,0.1,1.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,0.04153772495941606,0.00018099458541571416,6.366689186774372e-05,6.0317365810951814e-05,6.0317365810951814e-05,6.0317365810951814e-05,4.3585265656410603e-05,6.7003217030822915e-06,80.0,0.1,1.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,0.05784867150762163,0.00033058629220739165,0.0001379263332067067,0.0001318471745295254,0.0001318471745295254,0.0001318471745295254,8.315084507995255e-05,1.620353179179647e-05,90.0,0.2,1.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,0.048872664888312975,0.0002627603859101424,0.00012006033696368113,0.00011340085175854315,0.00011340085175854315,0.00011340085175854315,6.937544412230148e-05,9.352616079107612e-06,90.0,0.1,1.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,0.06410983637037637,0.0003414341406095744,0.0001358440907811009,0.00013194284991483653,0.00013194284991483653,0.00013194284991483653,9.310699626056955e-05,2.719261826388303e-05,100.0,0.2,1.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,0.05626132150046083,0.00026714286180056125,8.903210853961623e-05,7.624527866453395e-05,7.624527866453395e-05,7.624527866453395e-05,6.354203222615233e-05,2.5469861793221244e-05,100.0,0.1,1.0
