,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vtx CosCollinear < 0,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,0.00405029379938342,1.8099277568437995e-05,6.805718589065551e-06,4.529703786453223e-06,4.529703786453223e-06,4.529703786453223e-06,2.2659644055213504e-06,0.0,5.0,0.1,10.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,0.004919914434607457,2.074231113139933e-05,6.9209263330534815e-06,6.9209263330534815e-06,6.9209263330534815e-06,6.9209263330534815e-06,3.464026018447495e-06,0.0,5.0,0.2,10.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,0.006674026940807194,3.039133835278359e-05,1.250339066614266e-05,8.940832753356521e-06,8.940832753356521e-06,8.940832753356521e-06,5.3698822058909175e-06,1.791068127867891e-06,10.0,0.2,10.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,0.005639001254343149,1.8636618440617848e-05,7.756976403796493e-06,7.756976403796493e-06,7.756976403796493e-06,7.756976403796493e-06,4.657828351294512e-06,0.0,10.0,0.1,10.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,0.008417038050360265,2.9964646379529087e-05,1.2483810564115721e-05,9.99669727563764e-06,9.99669727563764e-06,7.480131660275433e-06,4.9898648636275815e-06,0.0,20.0,0.1,10.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,0.009663238937385993,5.355572640897102e-05,9.556363222488216e-06,5.727263925954882e-06,5.727263925954882e-06,5.727263925954882e-06,3.821106460706258e-06,0.0,20.0,0.2,10.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,0.010931604697521188,4.0716884102047005e-05,1.358568631623332e-05,1.358568631623332e-05,1.1648818728723622e-05,1.1648818728723622e-05,5.812433123928587e-06,0.0,30.0,0.1,10.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,0.01252823284605551,7.212078732108985e-05,3.731797594542897e-05,3.4829819566936494e-05,3.4829819566936494e-05,3.4829819566936494e-05,2.48731564796876e-05,0.0,30.0,0.2,10.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,0.014514106580446185,8.067447312133484e-05,3.363437513093537e-05,3.13889873898643e-05,3.13889873898643e-05,3.13889873898643e-05,1.7942705602604447e-05,0.0,40.0,0.1,10.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,0.016957106880001304,9.265387237830127e-05,2.7282051672537977e-05,2.4544229308312766e-05,2.4544229308312766e-05,2.4544229308312766e-05,2.181547628237083e-05,0.0,40.0,0.2,10.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,0.018737326562158547,5.530806596354348e-05,1.4416636616164021e-05,1.4416636616164021e-05,1.4416636616164021e-05,1.4416636616164021e-05,4.803209813637946e-06,0.0,50.0,0.1,10.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,0.021553250174175313,9.512707677185944e-05,1.7314845821348342e-05,1.7314845821348342e-05,1.7314845821348342e-05,1.7314845821348342e-05,8.649081355904457e-06,0.0,50.0,0.2,10.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,0.022975174099629306,0.00013363935964152076,4.0783283329827304e-05,4.0783283329827304e-05,4.0783283329827304e-05,4.0783283329827304e-05,2.965132207601238e-05,0.0,60.0,0.1,10.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,0.027889745720711075,0.00013802394266179064,5.0510179452009705e-05,5.0510179452009705e-05,5.0510179452009705e-05,5.0510179452009705e-05,2.694827943977346e-05,0.0,70.0,0.1,10.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,0.032949563720200546,0.00022131618986307786,8.93823365359644e-05,8.511903947496862e-05,8.511903947496862e-05,8.511903947496862e-05,5.1048199448557343e-05,8.497911868119894e-06,70.0,0.2,10.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-10,0.03264120238697272,0.00020972675599161824,8.456016849938139e-05,8.456016849938139e-05,8.456016849938139e-05,8.456016849938139e-05,4.059891174940192e-05,3.3870552686917893e-06,80.0,0.1,10.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-10,0.038497388685334324,0.0002971861224956357,0.0001175297165967215,0.0001175297165967215,0.0001175297165967215,0.0001175297165967215,6.221889044042474e-05,1.3805181131615385e-05,80.0,0.2,10.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-10,0.04527900021883168,0.00031201286911724125,0.00011511348952345382,0.00011316896378619157,0.00011316896378619157,0.00011316896378619157,8.782272211702717e-05,1.1714574943141258e-05,90.0,0.2,10.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-10,0.03757387454106012,0.00023307290538210546,8.205387312707236e-05,8.086681117654237e-05,8.086681117654237e-05,8.086681117654237e-05,4.87229149386242e-05,0.0,90.0,0.1,10.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-10,0.051483929250728,0.0003098229112240951,0.0001306305446487738,0.00012311218009583525,0.00012311218009583525,0.00012311218009583525,7.464143834720534e-05,1.1189157838645243e-05,100.0,0.2,10.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-10,0.043000357661592534,0.0002567115121825819,0.00010142252011649139,9.825160071814665e-05,9.666311046279267e-05,9.666311046279267e-05,6.497118305859176e-05,3.168772024480045e-06,100.0,0.1,10.0
