,Preselections,n(good vertex) > 0,No b-tagged jets,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,2689,253,222,5.0,0.1,100.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,583,65,61,5.0,0.2,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,1807,382,329,10.0,0.2,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,3318,517,443,10.0,0.1,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,2360,595,522,20.0,0.2,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,2610,587,513,20.0,0.1,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,2164,561,493,30.0,0.2,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,5208,1282,1126,30.0,0.1,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,4510,1289,1147,40.0,0.2,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,6078,1556,1362,40.0,0.1,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,3180,967,832,50.0,0.2,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,6046,1671,1451,50.0,0.1,100.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,3442,992,868,60.0,0.1,100.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,4425,1445,1249,70.0,0.2,100.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,4196,1227,1033,70.0,0.1,100.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,4797,1516,1307,80.0,0.1,100.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,5382,1912,1658,80.0,0.2,100.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,13749,4503,3881,90.0,0.1,100.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,12080,4351,3738,90.0,0.2,100.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,6734,2520,2187,100.0,0.2,100.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,16509,5675,4900,100.0,0.1,100.0
