,Preselections,n(good vertex) > 0,No b-tagged jets,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,1789,1239,1073,5.0,0.1,10.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,1426,948,800,5.0,0.2,10.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,3628,2576,2193,10.0,0.1,10.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,3733,2626,2208,10.0,0.2,10.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,5052,3703,3187,20.0,0.2,10.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,3367,2512,2150,20.0,0.1,10.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,5036,3836,3296,30.0,0.2,10.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,5634,4368,3756,30.0,0.1,10.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,6223,4871,4126,40.0,0.2,10.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,6479,5115,4388,40.0,0.1,10.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,2499,1975,1671,50.0,0.2,10.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,7792,6101,5183,50.0,0.1,10.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,6190,4836,4102,60.0,0.1,10.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,7741,6215,5267,70.0,0.2,10.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,8286,6563,5592,70.0,0.1,10.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-10,9646,7785,6613,80.0,0.1,10.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-10,5572,4492,3770,80.0,0.2,10.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-10,23220,18813,15965,90.0,0.2,10.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-10,31600,25665,21744,90.0,0.1,10.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-10,13788,11203,9439,100.0,0.2,10.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-10,27137,22098,18865,100.0,0.1,10.0
