,Preselections,n(good vertex) > 0,No b-tagged jets
ZGamma,0.00031387237842596616,3.374433719718607e-05,2.06158988032483e-05
DY-M4to50,2.4939579509275033e-05,4.1142677923143405e-06,1.995419955268837e-06
ZJets,0.0023187058776003304,0.000263696111314693,0.00015530050768100765
SingleTop,0.0002229452222603561,5.0280987621685185e-05,1.841247940471732e-05
WJets,0.0009680228392532293,0.00015104486732348164,8.543939100855318e-05
QCD,2.1688027237188067e-06,2.9558349257850626e-07,1.1151609632150304e-07
TTbar,0.000414353462647701,0.00014120720441144436,4.810872140503262e-05
TTX,0.0012716537742563044,0.00045101222200944955,0.00014079455262392237
DY-M50,0.0003749705177365793,7.817229319342543e-05,3.9420386327924314e-05
Multiboson,0.0006260018573140773,0.00011279426447251983,6.0047725721349005e-05
Total,1.3806305234903553e-05,2.2165516146246873e-06,1.1200650441063815e-06
