,Preselections,n(good vertex) > 0,No b-tagged jets,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,1632.838965983291,577.0689561967424,497.24915488783284,5.0,0.2,1.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,33995.16975707621,8680.37016030664,7690.395251708909,5.0,0.1,1.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,943.0769667935498,389.061152589598,336.8420471098195,10.0,0.2,1.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,22398.718782849937,7396.9110166941755,6311.626616896722,10.0,0.1,1.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,739.5435238266502,321.6155872680917,280.4307551550924,20.0,0.2,1.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,18094.188168924808,6722.822405673709,5787.198401586516,20.0,0.1,1.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,38777.464257545704,17916.679734075566,15567.04348975904,30.0,0.2,1.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,20358.38780524787,7862.179367732813,6921.819549018505,30.0,0.1,1.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,406.1787867834348,192.3870511371521,165.7581607693463,40.0,0.2,1.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,9985.147049686746,4061.330274710133,3509.183385931991,40.0,0.1,1.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,4212.720128148122,1714.4062431435486,1484.6041645834719,50.0,0.1,1.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,168.2570665959281,82.46531476505699,70.84534409418082,50.0,0.2,1.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,2742.842928487485,1122.1880525699005,969.1829294590127,60.0,0.1,1.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,75.1373992045313,35.74164960170448,30.8007814237376,70.0,0.2,1.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,1976.3460304394343,833.7494246785915,708.857615468206,70.0,0.1,1.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,1466.227224618235,624.8689243713853,542.2315928292024,80.0,0.1,1.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,44.39471437557343,20.885863955212894,17.985419607014418,90.0,0.2,1.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,1164.1743320838657,505.01237944029504,436.6276858333627,90.0,0.1,1.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,34.229722966703775,16.34096188752119,14.074094970760836,100.0,0.2,1.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,933.552909945247,408.20681669531524,344.4671602737762,100.0,0.1,1.0
