,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet pT > 80 GeV,Leading jet |eta| < 2.4,"dPhi(MET,leading jet) > 2.0","dPhi(MET,all jets) > 0.75",OSSF,theta < 1.22 rad,BDT,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,0.022502886909642552,0.006809097794389776,0.00629137341209064,0.006275213557104256,0.006016636395370922,0.0059277826041864825,0.005482614090344402,0.0054743579782491995,0.005393437576403395,0.0010440331052188564,5.0,0.2,1.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,0.019120101767097237,0.00461043869084582,0.004286947560035285,0.004264379152895072,0.004116030905295239,0.004102537729476073,0.0037923690463170893,0.003787866343154198,0.0036893339917429464,0.0004305383477751954,5.0,0.1,1.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,0.027112227285920793,0.010326291518946908,0.009625984730719343,0.009601550399336259,0.009343277497359548,0.009281734869441676,0.008630077717025298,0.00859328645049742,0.008346773257013485,0.0016968947258109287,10.0,0.2,1.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,0.023675566945107637,0.007513475037238306,0.007095672485539952,0.007068868496953386,0.006820963762103299,0.00675894422402615,0.0061460205710980815,0.006137213732371975,0.005843665196776489,0.000986363189512069,10.0,0.1,1.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,0.03425439386980174,0.01299241786161542,0.01195982979130643,0.011906928165581273,0.011397075197427583,0.011361992985756455,0.010433381480911396,0.010433381480911396,0.009959560970169225,0.00235019162558731,20.0,0.2,1.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,0.028188155129139116,0.010622821264752148,0.009873409012747938,0.009873409012747938,0.00962702482766025,0.009471911844631043,0.008787383169244694,0.008787383169244694,0.008489857789262839,0.0016291132832566536,20.0,0.1,1.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,0.04128059534658692,0.017477590684566224,0.016490705475712086,0.016422051847919568,0.01573383550507575,0.015550225718316359,0.014358721938521815,0.014312671634522475,0.01383249487487789,0.0031438975820249114,30.0,0.2,1.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,0.03571369147631492,0.013980037216653026,0.012951617703275622,0.012935090914848358,0.012552930360092338,0.012470050113051516,0.011655556784714268,0.011639014658618958,0.011140996066092047,0.0020585153436506387,30.0,0.1,1.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,0.052065149880327316,0.02354732362849829,0.021813270708809313,0.021813270708809313,0.020764648098633355,0.020586181545716113,0.018549618327271485,0.01843017978208908,0.017711942992618582,0.0038887288702850417,40.0,0.2,1.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,0.04490665131550927,0.017168987570357095,0.01603899239206363,0.016015767416828194,0.015275271353680234,0.015067945182715613,0.01405007982050526,0.014027098602950578,0.013334621519976471,0.0027727436186041703,40.0,0.1,1.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,0.05580891143371648,0.023151993201235305,0.02108386750321243,0.02108386750321243,0.020394866735406258,0.02009201097854155,0.018214041701618645,0.01818655500766239,0.017218966967512957,0.0036995226251345056,50.0,0.1,1.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,0.06461361648866128,0.028393814205508745,0.025979663701446994,0.025866388375875297,0.025225986780392753,0.025037126844695227,0.023375602534791366,0.023186427187520904,0.02194056888978083,0.004487664249512335,50.0,0.2,1.0
sig_2018_Mchi-66p0_dMchi-12p0_ctau-1,0.07937979973363758,0.034797006878520775,0.031720772377086016,0.031720772377086016,0.03066847389884646,0.030406025438477906,0.028122449249275296,0.027972313180952696,0.025495826120819354,0.004798721445601051,60.0,0.2,1.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,0.06300080571374668,0.024800869766707215,0.02345626359466391,0.023422791072388153,0.02255120006154904,0.022349972143144402,0.020844870491424784,0.020811681830397003,0.01983850810132905,0.0038521324642210473,60.0,0.1,1.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,0.0918051802833414,0.040366804366792165,0.03706960351031265,0.037026245769415836,0.035527864741666436,0.03505537375377634,0.032229378234138316,0.03210149346373584,0.02889236875796659,0.005739676579707963,70.0,0.2,1.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,0.0819920469800264,0.03334826476550575,0.03075374913955413,0.030679161610638942,0.029812329772829327,0.029324768832934237,0.026878567301581693,0.026727892879212466,0.02514971603948886,0.004736029883709677,70.0,0.1,1.0
