,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet pT > 80 GeV,Leading jet |eta| < 2.4,"dPhi(MET,leading jet) > 2.0","dPhi(MET,all jets) > 0.75",OSSF,theta < 1.22 rad,BDT,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,306.39102792452985,13.455679430380348,12.206786247368573,12.117320790160683,11.581437854943703,11.581437854943703,11.046355630864554,10.957075338107286,10.421472651788546,1.9563630101772287,5.0,0.1,100.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,10.100624862967884,0.7084835562219386,0.6493313485156273,0.6493313485156273,0.6238410013760259,0.6238410013760259,0.5757968245523234,0.5757968245523234,0.5701596798925331,0.26265967154340103,5.0,0.2,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,6.057099279918821,0.7202110147366453,0.6693294495892499,0.6693294495892499,0.6396839142741427,0.6340363169195783,0.580426444599335,0.5790133210106371,0.5733854623339124,0.3518482609233436,10.0,0.2,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,181.31701474402166,15.95255587305425,15.022754345586154,15.022754345586154,14.53493627466346,14.31410396937045,13.294924029976942,13.294924029976942,13.119580076411069,6.736952124542965,10.0,0.1,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,5.568811229024138,0.9337162571557418,0.8740357124468419,0.868208211949202,0.8361250760561245,0.8288315886812673,0.7691541078191957,0.7618561523343805,0.751661521163799,0.5299903201443907,20.0,0.2,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,152.8267917608206,21.24633317952665,19.483725920467204,19.34529069541407,18.61732665418057,18.513781099777976,16.82187485982344,16.78728720788828,16.648474459440923,10.559068975545351,20.0,0.1,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,1217.3577245205984,227.39398012401648,216.10110833525033,215.04221777376978,203.36867683002507,200.18006100499008,185.31867590821506,181.0674229981988,180.0101652499454,128.38411148956433,30.0,0.2,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,19958.19593537719,3499.0422504610256,3324.796782410087,3324.796782410087,3237.648699659073,3186.4863362293813,2986.4397653776887,2955.807362622535,2950.716447149369,2074.599866996173,30.0,0.1,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,94.3872585213667,17.06311596162323,16.04737384098612,16.021915692562793,15.286478790948332,15.109256399310476,14.01759613338346,13.839625014224138,13.76349355222529,9.675206777903753,40.0,0.1,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,3.3124759291020713,0.6653584388136297,0.6271424990891655,0.6260968465218083,0.6085739404323763,0.5992856486229098,0.5497979139457316,0.5394567471029782,0.5301672515491901,0.3775089651195613,40.0,0.2,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,1.398241000892633,0.3022585822539647,0.28336936933682627,0.28336936933682627,0.2746235327951384,0.27277777314887436,0.2557369178429792,0.24836207465653926,0.24327400748051334,0.17363997275366436,50.0,0.2,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,38.084814453546365,7.075552003549288,6.563369948952754,6.5397542532814965,6.271604305744443,6.166584159554848,5.618560877606911,5.5600389297297514,5.524828720749475,3.8925459284011534,50.0,0.1,100.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,24.21681402369388,4.5330419029407425,4.2919291688748515,4.284017453189301,4.159927551667087,4.1288587260590734,3.755327605798013,3.6387717230665126,3.5769592895621662,2.4652372090908687,60.0,0.1,100.0
sig_2018_Mchi-66p0_dMchi-12p0_ctau-100,0.8873555675566154,0.18641426453297108,0.17138115949412894,0.1708185440670752,0.16427459246464443,0.16227849228916033,0.14865950849926352,0.14298787441270866,0.1350554785379606,0.09475401552576554,60.0,0.2,100.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,18.036409151569313,3.6810029871641374,3.3975114959650585,3.3861934321641356,3.255838729231472,3.210464156183393,2.966601810949207,2.938207577107667,2.841758413000471,2.019466313385434,70.0,0.1,100.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,0.6285673327076755,0.14294620247447934,0.13350238457295452,0.13350238457295452,0.12920936184174567,0.12791886768926114,0.11844120643036833,0.11241481352591971,0.1048929420770297,0.07049308705937965,70.0,0.2,100.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,13.434712516830045,3.008707512006048,2.775045411030551,2.770474417600143,2.646759394798327,2.6329210659740534,2.3854440146705267,2.2936122865966366,2.211133697971973,1.5548431005444454,80.0,0.1,100.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,10.611689040838014,2.362201696171607,2.1921115429264444,2.188383347362777,2.1183717941544447,2.103624510558167,1.9299681214427051,1.8711322034256124,1.7788491106350068,1.2400718712969787,90.0,0.1,100.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,0.38690429980811314,0.09482052546215498,0.08873897127664934,0.08833280722021421,0.08414079421722154,0.08360419539836779,0.07777914807329082,0.07561691365505381,0.06736562839124587,0.0419384843823313,90.0,0.2,100.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,0.30581425462042516,0.07423128432824887,0.06885719815602374,0.06874221292856764,0.06553367269454541,0.06472943304840081,0.06082210677728002,0.05806680817691529,0.05060832660556328,0.03019002251393288,100.0,0.2,100.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,8.411782373188169,1.9518076116720058,1.8193914919835772,1.813737405398323,1.7488249078235996,1.7235482540179539,1.5543045864415688,1.5035765795000462,1.4190317262334369,0.9489893250711543,100.0,0.1,100.0
