,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,computing BDT score,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",BDT v2 Loose WP
QCD,1.7651668257743638e-06,8.736155331740678e-08,8.736155331740678e-08,6.157029004802629e-08,6.120635245786921e-08,6.120635245786921e-08,6.117855889045831e-08,2.9338393925576884e-08,0.0
Top,0.00012946820485290213,1.2774784812733056e-05,1.2774784812733056e-05,7.989827512265165e-06,7.173793286485686e-06,7.149992237438955e-06,7.149144894047255e-06,6.716168731860168e-06,7.461726213582949e-09
DY,1.126054423939207e-05,5.215842691400094e-07,5.215842691400094e-07,4.841556455252428e-07,4.841556455252428e-07,4.841556455252428e-07,4.841556455252428e-07,3.53960950029134e-07,0.0
Diboson,0.0006373026064192725,4.4354870924462705e-05,4.4354870924462705e-05,3.273392261823867e-05,3.073426504491715e-05,3.0433758480168583e-05,3.0298337496326378e-05,2.7275747027663858e-05,1.1239168439539071e-07
Triboson,0.0019325663156032672,0.00015768899029569325,0.00015768899029569325,0.0001040776100203441,9.153826014584427e-05,9.138369774919827e-05,9.122913535255226e-05,7.609983025596556e-05,0.0
W+jets,0.002309963596556851,0.00017293078054504203,0.00017293078054504203,0.00013872868409909014,0.00013152649654643602,0.000131265024610705,0.00013122087706437242,0.00011390976330273452,3.5529762218034625e-07
Z+jets,0.0066453386621012816,0.000398315510784627,0.000398315510784627,0.00032510230966450494,0.0003095804597860897,0.00030900214223926497,0.0003089645232817095,0.0002923516664890651,4.7168350160275563e-07
Total,1.878092097231049e-05,6.29342285282364e-07,4.1956152352157594e-07,2.51360194009057e-07,1.9154018216977717e-07,1.5931816960860707e-07,1.3651665736006344e-07,1.0341200000415602e-07,2.2286553144566345e-10
