,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 2.0","dPhi(MET,all jets) > 0.75",BDT
ZJets,63745.582261475385,1077.2394881943524,883.7548042848285,845.3955848813497,839.2519664804602,836.8280031594394,791.0161455290349,13.585578425851072
DY,5819.491801116749,283.63288433357684,224.69677190772816,218.46387510207614,216.9705831447452,215.31678894876086,198.2985723152057,7.721515767340183
Multiboson,4588.161421356313,177.75538745784127,135.4171217202335,123.37120520386802,106.8515681425807,102.61539422556291,99.93888943006385,0.21021763805637034
QCD,53432.268403986614,143.8980408716217,73.61114889162403,43.300835776007226,43.300835776007226,38.84822417742643,16.049969065036212,0.0
Top,26174.931995913073,572.2135990648778,349.9827313254247,312.9448420867716,292.0601189377428,288.3927418974474,271.3836383788993,4.279059329927912
ZGamma,1665.1257291312033,55.63850323791335,48.78485585237076,43.444297509446926,36.34375529078073,36.9771632073744,37.0729841125317,0.0
WJets,214692.23521238868,4233.99679209658,3402.857533259624,3260.736806374315,3217.3559969373314,3202.033834821763,3002.8621008842156,41.088182501035206
Total,370117.796825368,6544.3746952567635,5119.104967241834,4847.657446933835,4752.1348247096485,4721.012150437774,4416.622299714987,66.88455366221075
