,Preselections,n(good vertex) > 0,Leading jet pT > 80 GeV,Leading jet |eta| < 2.4,"dPhi(MET,leading jet) > 2.0","dPhi(MET,all jets) > 0.75",OSSF,theta < 90,BDT
QCD,53432.26840398662,275.5522176586657,275.5522176586657,214.93159142743207,206.02636823027046,32.90289258823613,16.049969065036212,0.0,0.0
DY,5819.491801116749,358.2117936726567,355.07640440627205,340.58156008699297,337.01595174498385,296.3932371491961,236.5625868590143,127.32159083170164,8.125155862819032
ZGamma,1665.1257291312033,84.7663274095525,71.70562552410281,67.31443467214577,67.19842749894792,67.40537850835113,45.164336023756945,26.03595646884872,0.16488622282368742
Top,26174.931995913073,851.6007737096427,793.7497443754534,715.6423175263843,706.9730821993164,646.1686763350272,411.6591316147838,219.46212441197528,6.152582948699974
Multiboson,4588.161421356313,239.80259862658306,209.33542177549901,192.59035498907423,186.67305032833087,175.4510808360974,123.66359000774666,58.879802502603454,0.0
WJets,214692.23521238868,7883.416395092882,7765.399153499095,7373.783215561765,7330.010841260835,6739.244257961702,3542.392742107315,1824.8455653539584,50.6042334836502
ZJets,63745.582261475385,2003.9055263246316,1985.0565946653378,1879.8653639925194,1873.7349412999874,1751.6888147060836,925.7383844340486,478.9411514226903,18.727046975310543
Total,370117.796825368,11697.255632494614,11455.875161904427,10784.708838256314,10707.632662562672,9709.254338084693,5301.230740111701,2735.4861909917777,83.77390549330343
