,Preselections,n(good vertex) > 0,Leading jet pT > 80 GeV,Leading jet |eta| < 2.4,"dPhi(MET,leading jet) > 2.0","dPhi(MET,all jets) > 0.75",OSSF,theta < 70,BDT
WJets,214692.23521238868,7883.416395092882,7765.399153499095,7373.783215561765,7330.010841260835,6739.244257961702,3542.392742107315,1633.6210809027561,21.13529230395272
DY,5819.491801116749,358.2117936726567,355.07640440627205,340.58156008699297,337.01595174498385,296.3932371491961,236.5625868590143,114.16550860825394,2.1278351211564908
ZJets,63745.58226147538,2003.9055263246319,1985.0565946653378,1879.8653639925196,1873.7349412999874,1751.6888147060836,925.7383844340486,423.1863148159332,7.821250352345202
Multiboson,4588.1614213563125,239.80259862658306,209.33542177549901,192.59035498907426,186.67305032833087,175.4510808360974,123.66359000774666,50.248429246420194,0.0
Top,26174.931995913073,851.6007737096426,793.7497443754534,715.6423175263843,706.9730821993164,646.1686763350273,411.65913161478375,192.82555132367065,3.480486185353891
ZGamma,1665.1257291312033,84.7663274095525,71.70562552410281,67.31443467214577,67.19842749894792,67.40537850835112,45.164336023756945,24.509049557842054,0.0
QCD,53432.268403986614,275.5522176586657,275.5522176586657,214.93159142743207,206.02636823027046,32.90289258823613,16.049969065036212,0.0,0.0
Total,370117.7968253681,11697.255632494614,11455.875161904423,10784.708838256312,10707.632662562672,9709.254338084693,5301.2307401117005,2438.555934454876,34.5648639628083
